sample_id,split,split_strategy
0,train,element_set
2,train,element_set
3,train,element_set
5,train,element_set
6,train,element_set
7,train,element_set
8,train,element_set
9,train,element_set
10,train,element_set
11,train,element_set
12,train,element_set
13,train,element_set
14,train,element_set
15,train,element_set
16,train,element_set
17,train,element_set
18,train,element_set
19,train,element_set
20,train,element_set
21,train,element_set
22,train,element_set
23,train,element_set
24,train,element_set
25,train,element_set
29,train,element_set
30,train,element_set
31,train,element_set
32,train,element_set
33,train,element_set
35,train,element_set
38,train,element_set
39,train,element_set
42,train,element_set
45,train,element_set
46,train,element_set
47,train,element_set
48,train,element_set
49,train,element_set
50,train,element_set
51,train,element_set
52,train,element_set
53,train,element_set
54,train,element_set
56,train,element_set
57,train,element_set
58,train,element_set
59,train,element_set
60,train,element_set
61,train,element_set
63,train,element_set
64,train,element_set
65,train,element_set
66,train,element_set
67,train,element_set
68,train,element_set
70,train,element_set
71,train,element_set
72,train,element_set
74,train,element_set
75,train,element_set
76,train,element_set
77,train,element_set
78,train,element_set
79,train,element_set
80,train,element_set
81,train,element_set
82,train,element_set
83,train,element_set
84,train,element_set
85,train,element_set
86,train,element_set
87,train,element_set
88,train,element_set
90,train,element_set
91,train,element_set
93,train,element_set
94,train,element_set
95,train,element_set
96,train,element_set
97,train,element_set
98,train,element_set
99,train,element_set
100,train,element_set
101,train,element_set
102,train,element_set
103,train,element_set
104,train,element_set
105,train,element_set
106,train,element_set
107,train,element_set
108,train,element_set
109,train,element_set
110,train,element_set
111,train,element_set
112,train,element_set
113,train,element_set
115,train,element_set
116,train,element_set
117,train,element_set
118,train,element_set
119,train,element_set
120,train,element_set
121,train,element_set
122,train,element_set
123,train,element_set
124,train,element_set
125,train,element_set
126,train,element_set
128,train,element_set
129,train,element_set
130,train,element_set
132,train,element_set
134,train,element_set
135,train,element_set
136,train,element_set
137,train,element_set
138,train,element_set
139,train,element_set
140,train,element_set
141,train,element_set
142,train,element_set
143,train,element_set
144,train,element_set
145,train,element_set
146,train,element_set
147,train,element_set
149,train,element_set
150,train,element_set
151,train,element_set
152,train,element_set
153,train,element_set
154,train,element_set
155,train,element_set
156,train,element_set
157,train,element_set
158,train,element_set
159,train,element_set
160,train,element_set
162,train,element_set
164,train,element_set
165,train,element_set
166,train,element_set
167,train,element_set
168,train,element_set
169,train,element_set
170,train,element_set
172,train,element_set
173,train,element_set
