sample_id,split,split_strategy
0,train,random_iid
1,train,random_iid
2,train,random_iid
4,train,random_iid
5,train,random_iid
7,train,random_iid
8,train,random_iid
9,train,random_iid
10,train,random_iid
11,train,random_iid
12,train,random_iid
13,train,random_iid
14,train,random_iid
15,train,random_iid
16,train,random_iid
17,train,random_iid
18,train,random_iid
20,train,random_iid
21,train,random_iid
22,train,random_iid
23,train,random_iid
24,train,random_iid
25,train,random_iid
26,train,random_iid
27,train,random_iid
28,train,random_iid
30,train,random_iid
31,train,random_iid
32,train,random_iid
33,train,random_iid
36,train,random_iid
37,train,random_iid
38,train,random_iid
39,train,random_iid
40,train,random_iid
41,train,random_iid
43,train,random_iid
44,train,random_iid
45,train,random_iid
46,train,random_iid
48,train,random_iid
49,train,random_iid
51,train,random_iid
52,train,random_iid
54,train,random_iid
55,train,random_iid
56,train,random_iid
58,train,random_iid
60,train,random_iid
61,train,random_iid
63,train,random_iid
64,train,random_iid
65,train,random_iid
66,train,random_iid
67,train,random_iid
68,train,random_iid
69,train,random_iid
70,train,random_iid
71,train,random_iid
73,train,random_iid
74,train,random_iid
75,train,random_iid
76,train,random_iid
77,train,random_iid
78,train,random_iid
79,train,random_iid
80,train,random_iid
81,train,random_iid
82,train,random_iid
83,train,random_iid
85,train,random_iid
86,train,random_iid
87,train,random_iid
90,train,random_iid
91,train,random_iid
92,train,random_iid
93,train,random_iid
94,train,random_iid
96,train,random_iid
97,train,random_iid
99,train,random_iid
100,train,random_iid
102,train,random_iid
104,train,random_iid
105,train,random_iid
106,train,random_iid
107,train,random_iid
108,train,random_iid
109,train,random_iid
110,train,random_iid
111,train,random_iid
112,train,random_iid
113,train,random_iid
114,train,random_iid
115,train,random_iid
116,train,random_iid
117,train,random_iid
118,train,random_iid
120,train,random_iid
121,train,random_iid
122,train,random_iid
125,train,random_iid
126,train,random_iid
128,train,random_iid
130,train,random_iid
131,train,random_iid
132,train,random_iid
133,train,random_iid
135,train,random_iid
136,train,random_iid
138,train,random_iid
139,train,random_iid
140,train,random_iid
141,train,random_iid
142,train,random_iid
143,train,random_iid
144,train,random_iid
145,train,random_iid
146,train,random_iid
147,train,random_iid
148,train,random_iid
149,train,random_iid
150,train,random_iid
151,train,random_iid
152,train,random_iid
153,train,random_iid
154,train,random_iid
155,train,random_iid
156,train,random_iid
157,train,random_iid
158,train,random_iid
159,train,random_iid
161,train,random_iid
163,train,random_iid
164,train,random_iid
165,train,random_iid
166,train,random_iid
167,train,random_iid
168,train,random_iid
170,train,random_iid
171,train,random_iid
172,train,random_iid
173,train,random_iid
174,train,random_iid
175,train,random_iid
176,train,random_iid
177,train,random_iid
178,train,random_iid
180,train,random_iid
181,train,random_iid
182,train,random_iid
184,train,random_iid
185,train,random_iid
186,train,random_iid
187,train,random_iid
188,train,random_iid
191,train,random_iid
192,train,random_iid
193,train,random_iid
194,train,random_iid
196,train,random_iid
197,train,random_iid
198,train,random_iid
199,train,random_iid
201,train,random_iid
202,train,random_iid
