sample_id,split,in_train_2_5,in_train_25,in_train_100
0,train,False,False,True
1,train,False,False,True
2,train,False,False,True
3,test,False,False,False
4,train,False,False,True
5,train,False,False,True
6,test,False,False,False
7,train,False,False,True
8,train,False,False,True
9,train,False,True,True
10,train,False,False,True
11,train,False,False,True
12,train,False,False,True
13,train,False,False,True
14,train,False,True,True
15,train,True,True,True
16,train,False,True,True
17,train,False,False,True
18,train,False,True,True
19,test,False,False,False
20,train,False,False,True
21,train,False,True,True
22,train,False,False,True
23,train,False,False,True
24,train,True,True,True
25,train,False,False,True
26,train,False,False,True
27,train,False,False,True
28,train,False,False,True
29,val,False,False,False
30,train,False,False,True
31,train,False,False,True
32,train,False,False,True
33,train,False,False,True
34,val,False,False,False
35,test,False,False,False
36,train,False,True,True
37,train,False,False,True
38,train,False,False,True
39,train,False,True,True
40,train,False,True,True
41,train,False,False,True
42,test,False,False,False
43,train,False,False,True
44,train,False,False,True
45,train,False,False,True
46,train,False,False,True
47,test,False,False,False
48,train,False,False,True
49,train,False,False,True
50,val,False,False,False
51,train,False,True,True
52,train,False,True,True
53,val,False,False,False
54,train,True,True,True
55,train,False,False,True
56,train,False,False,True
57,test,False,False,False
58,train,False,False,True
59,test,False,False,False
60,train,False,False,True
61,train,False,False,True
62,val,False,False,False
63,train,False,False,True
64,train,False,False,True
65,train,False,False,True
66,train,False,False,True
67,train,False,True,True
68,train,True,True,True
69,train,False,False,True
70,train,False,False,True
71,train,False,False,True
72,test,False,False,False
73,train,False,False,True
74,train,False,False,True
75,train,False,False,True
76,train,False,False,True
77,train,False,True,True
78,train,False,False,True
79,train,False,True,True
80,train,False,False,True
81,train,False,True,True
82,train,False,False,True
83,train,False,False,True
84,val,False,False,False
85,train,False,True,True
86,train,False,False,True
87,train,False,True,True
88,test,False,False,False
89,val,False,False,False
90,train,False,False,True
91,train,False,False,True
92,train,False,False,True
93,train,False,False,True
94,train,False,False,True
95,val,False,False,False
96,train,False,False,True
97,train,False,False,True
98,val,False,False,False
99,train,False,True,True
100,train,False,False,True
101,test,False,False,False
102,train,False,False,True
103,test,False,False,False
104,train,False,False,True
105,train,False,True,True
106,train,False,False,True
107,train,False,True,True
108,train,False,True,True
109,train,False,False,True
110,train,False,False,True
111,train,False,False,True
112,train,False,False,True
113,train,True,True,True
114,train,False,True,True
115,train,False,True,True
116,train,False,False,True
117,train,False,False,True
118,train,False,False,True
119,test,False,False,False
120,train,False,False,True
121,train,False,False,True
122,train,False,False,True
123,test,False,False,False
124,val,False,False,False
125,train,False,False,True
126,train,False,True,True
127,test,False,False,False
128,train,False,False,True
129,val,False,False,False
130,train,False,True,True
131,train,False,False,True
132,train,False,False,True
133,train,False,False,True
134,test,False,False,False
135,train,False,False,True
136,train,False,True,True
137,test,False,False,False
138,train,False,False,True
139,train,False,False,True
140,train,False,False,True
141,train,False,False,True
142,train,False,False,True
143,train,False,False,True
144,train,False,False,True
145,train,False,False,True
146,train,False,False,True
147,train,False,False,True
148,train,False,False,True
149,train,False,False,True
150,train,False,True,True
151,train,False,False,True
152,train,False,False,True
153,train,False,False,True
154,train,False,True,True
155,train,False,False,True
156,train,False,True,True
157,train,False,False,True
158,train,False,True,True
159,train,False,False,True
160,val,False,False,False
161,train,False,False,True
162,val,False,False,False
163,train,False,False,True
164,train,False,False,True
165,train,False,False,True
166,train,False,False,True
167,train,False,True,True
168,train,False,False,True
169,test,False,False,False
170,train,False,False,True
171,train,False,False,True
172,train,False,False,True
173,train,False,False,True
174,train,False,False,True
175,train,False,False,True
176,train,False,False,True
177,train,False,False,True
178,train,False,False,True
179,val,False,False,False
180,train,False,False,True
181,train,False,True,True
182,train,False,True,True
183,val,False,False,False
184,train,False,False,True
185,train,False,False,True
186,train,False,False,True
187,train,False,True,True
188,train,False,False,True
189,val,False,False,False
190,val,False,False,False
191,train,False,False,True
192,train,False,False,True
193,train,False,False,True
194,train,False,False,True
195,val,False,False,False
196,train,False,True,True
197,train,False,False,True
198,train,False,False,True
199,train,False,False,True
200,test,False,False,False
201,train,False,False,True
