sample_id,target,target_bin_10,target_bin_5
0,2.16,middle_80,middle_90
1,1.52,middle_80,middle_90
2,1.48,middle_80,middle_90
3,1.24,middle_80,middle_90
4,0.62,low_10,middle_90
5,1.48,middle_80,middle_90
6,1.56,middle_80,middle_90
7,1.2,middle_80,middle_90
8,1.62,middle_80,middle_90
9,3.16,high_10,high_5
10,1.4,middle_80,middle_90
11,2.74,high_10,middle_90
12,0.78,middle_80,middle_90
13,1.24,middle_80,middle_90
14,1.76,middle_80,middle_90
15,1.5,middle_80,middle_90
16,2.06,middle_80,middle_90
17,1.06,middle_80,middle_90
18,1.7,middle_80,middle_90
19,0.46,low_10,low_5
20,1.08,middle_80,middle_90
21,1.28,middle_80,middle_90
22,1.76,middle_80,middle_90
23,1.68,middle_80,middle_90
24,0.82,middle_80,middle_90
25,1.16,middle_80,middle_90
26,1.18,middle_80,middle_90
27,1.24,middle_80,middle_90
28,0.32,low_10,low_5
29,0.6,low_10,middle_90
30,2.3,middle_80,middle_90
31,0.66,middle_80,middle_90
32,2.0,middle_80,middle_90
33,0.62,low_10,middle_90
34,0.98,middle_80,middle_90
35,1.3,middle_80,middle_90
36,0.58,low_10,middle_90
37,1.18,middle_80,middle_90
38,1.34,middle_80,middle_90
39,0.76,middle_80,middle_90
40,1.16,middle_80,middle_90
41,1.28,middle_80,middle_90
42,1.4,middle_80,middle_90
43,2.96,high_10,high_5
44,0.72,middle_80,middle_90
45,0.6,low_10,middle_90
46,0.68,middle_80,middle_90
47,0.7,middle_80,middle_90
48,2.84,high_10,middle_90
49,1.18,middle_80,middle_90
50,0.56,low_10,middle_90
51,0.92,middle_80,middle_90
52,0.98,middle_80,middle_90
53,3.2,high_10,high_5
54,1.48,middle_80,middle_90
55,1.36,middle_80,middle_90
56,1.78,middle_80,middle_90
57,0.84,middle_80,middle_90
58,0.36,low_10,low_5
59,0.64,low_10,middle_90
60,1.44,middle_80,middle_90
61,0.0,low_10,low_5
62,1.24,middle_80,middle_90
63,1.36,middle_80,middle_90
64,1.9,middle_80,middle_90
