epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,29,,,,1.0282012224197388,1.2784100770950317,1.6797362565994263
0,29,1.6763180494308472,1.8638759851455688,3.6131479740142822,,,
1,59,,,,0.6756911277770996,0.8738009333610535,0.7834001779556274
1,59,0.8311502933502197,1.0556447505950928,1.1519057750701904,,,
2,89,,,,0.5224055051803589,0.6792380213737488,0.47614818811416626
2,89,0.5888184905052185,0.7687168121337891,0.6107836961746216,,,
3,119,,,,0.47631996870040894,0.6026225090026855,0.3745001256465912
3,119,0.5018171668052673,0.6348004937171936,0.42346981167793274,,,
4,149,,,,0.44448786973953247,0.5604705214500427,0.32260435819625854
4,149,0.4618603587150574,0.5803049802780151,0.35109835863113403,,,
5,179,,,,0.41868874430656433,0.5266609787940979,0.2842958867549896
5,179,0.43833908438682556,0.5447139739990234,0.31090641021728516,,,
6,209,,,,0.39750275015830994,0.5007397532463074,0.25661516189575195
6,209,0.4124656915664673,0.5143514275550842,0.2764245867729187,,,
7,239,,,,0.3799000680446625,0.47721219062805176,0.2329091727733612
7,239,0.39671552181243896,0.4979974925518036,0.2534680962562561,,,
8,269,,,,0.3633240759372711,0.4590856730937958,0.21529284119606018
8,269,0.37590262293815613,0.46754190325737,0.22807945311069489,,,
9,299,,,,0.35183289647102356,0.4407874047756195,0.19907356798648834
9,299,0.3611394464969635,0.4531767666339874,0.21201281249523163,,,
10,329,,,,0.34348398447036743,0.43839389085769653,0.19672821462154388
10,329,0.34702828526496887,0.43788570165634155,0.19543080031871796,,,
11,359,,,,0.32348108291625977,0.41104957461357117,0.17315591871738434
11,359,0.3404092490673065,0.4280082881450653,0.18991781771183014,,,
12,389,,,,0.3141627907752991,0.39819541573524475,0.1628425270318985
12,389,0.3239850401878357,0.4099019765853882,0.1720106452703476,,,
13,419,,,,0.3076765835285187,0.3839776813983917,0.15164023637771606
13,419,0.3137238323688507,0.3909122049808502,0.15921393036842346,,,
14,449,,,,0.2930569052696228,0.3698428273200989,0.14069224894046783
14,449,0.3117339015007019,0.3894418478012085,0.15668727457523346,,,
