epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,946,,,,0.2635679244995117,0.3336804509162903,0.05750223621726036
0,946,0.3233078420162201,0.4102173447608948,0.09011568129062653,,,
1,1893,,,,0.22834409773349762,0.28488558530807495,0.041949957609176636
1,1893,0.2390546053647995,0.30149638652801514,0.04747213050723076,,,
2,2840,,,,0.21708153188228607,0.2696738839149475,0.037565678358078
2,2840,0.21790814399719238,0.2740660607814789,0.03926760330796242,,,
3,3787,,,,0.20793505012989044,0.2598073184490204,0.03519516438245773
3,3787,0.20435373485088348,0.2568747103214264,0.03426993265748024,,,
4,4734,,,,0.1965389996767044,0.2454223930835724,0.031359512358903885
4,4734,0.19773447513580322,0.2477162629365921,0.031888507306575775,,,
5,5681,,,,0.19719646871089935,0.24742555618286133,0.03205374628305435
5,5681,0.18934233486652374,0.23689737915992737,0.02929452434182167,,,
6,6628,,,,0.19028179347515106,0.23874825239181519,0.029622817412018776
6,6628,0.18334423005580902,0.23035840690135956,0.02756042219698429,,,
7,7575,,,,0.18417228758335114,0.22864502668380737,0.02723921276628971
7,7575,0.17799708247184753,0.22308211028575897,0.025934038683772087,,,
8,8522,,,,0.18685486912727356,0.23318086564540863,0.02837623469531536
8,8522,0.17323841154575348,0.21736876666545868,0.02465427666902542,,,
9,9469,,,,0.1821543574333191,0.22620108723640442,0.026669565588235855
9,9469,0.1695440262556076,0.2129940241575241,0.023594604805111885,,,
10,10416,,,,0.17966073751449585,0.22533436119556427,0.02657710760831833
10,10416,0.16636449098587036,0.20853696763515472,0.022627314552664757,,,
11,11363,,,,0.17538093030452728,0.22026975452899933,0.025298358872532845
11,11363,0.16302362084388733,0.20477677881717682,0.021881520748138428,,,
12,12310,,,,0.17408013343811035,0.21761518716812134,0.02477065846323967
12,12310,0.16104203462600708,0.20226065814495087,0.021257270127534866,,,
13,13257,,,,0.17098368704319,0.21326269209384918,0.0236824844032526
13,13257,0.158888041973114,0.19944781064987183,0.020740164443850517,,,
14,14204,,,,0.17290396988391876,0.21621328592300415,0.024435317143797874
14,14204,0.15664036571979523,0.19619432091712952,0.020078109577298164,,,
15,15151,,,,0.17273201048374176,0.21954989433288574,0.025337617844343185
15,15151,0.15339359641075134,0.19255082309246063,0.019353775307536125,,,
16,16098,,,,0.17247581481933594,0.21577471494674683,0.024305053055286407
16,16098,0.15163661539554596,0.19038912653923035,0.01886834390461445,,,
17,17045,,,,0.1662469506263733,0.20892274379730225,0.022869544103741646
17,17045,0.14986860752105713,0.1884501427412033,0.018421387299895287,,,
18,17992,,,,0.16605108976364136,0.20775093138217926,0.02253691479563713
18,17992,0.1488843560218811,0.1867687702178955,0.018184607848525047,,,
19,18939,,,,0.16641174256801605,0.20988836884498596,0.02295231632888317
19,18939,0.14690540730953217,0.1840388923883438,0.017636194825172424,,,
20,19886,,,,0.16594238579273224,0.20788809657096863,0.02250419370830059
