model_name,model_family,split_strategy,budget_name,model_seed,target_bin_scheme,target_bin,n_samples,mae,rmse,r2,mape,predictions_path,source_result_path
cgcnn_optimized,cgcnn,random_iid,B500,42,target_bin_10,overall,1893,0.4364519236920233,0.5809779709950337,0.4125967829866486,48.4064867711346,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,42,target_bin_10,low_10,195,0.5652218886615386,0.6926751813728333,-12.671482991823625,228.06930301209712,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,42,target_bin_10,middle_80,1491,0.3421107348960429,0.44122637297375966,0.06990350753130614,27.464975863132242,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,42,target_bin_10,high_10,207,0.9946768962801933,1.1101742665143777,-4.053947022177743,31.73435744420589,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,42,target_bin_5,overall,1893,0.4364519236920233,0.5809779709950337,0.4125967829866486,48.4064867711346,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,42,target_bin_5,low_5,104,0.5743627895096155,0.7070641771587313,-18.12705439953478,342.4307161026123,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,42,target_bin_5,middle_90,1684,0.3753408928978622,0.48240685697410135,0.2649630760455277,31.309272195665393,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,42,target_bin_5,high_5,105,1.279959026666667,1.3630023121131516,-8.288522665646484,36.98970537379596,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,42,target_bin_10,overall,1893,0.5314997481722133,0.7126395907809702,0.1025311705856673,75.18700672912772,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,42,target_bin_10,low_10,210,0.8754676263809523,0.9046276137599396,-16.981989339416508,431.9912593394573,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,42,target_bin_10,middle_80,1495,0.3517770215050167,0.42648345775654284,0.05908051552278426,28.193662373100803,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,42,target_bin_10,high_10,188,1.5764583755319148,1.6592637494024065,-8.860166372197241,50.32613845301629,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,42,target_bin_5,overall,1893,0.5314997481722133,0.7126395907809702,0.1025311705856673,75.18700672912772,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,42,target_bin_5,low_5,109,1.0006110554128438,1.0248534730162304,-29.976098311912672,711.0542680552188,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,42,target_bin_5,middle_90,1682,0.41592473332342456,0.5142648956847159,0.08411801553263687,35.1608582481279,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,42,target_bin_5,high_5,102,1.9360491843137255,1.9853598028667603,-19.613332514332402,55.72083281243915,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_10,overall,1893,0.4343981349529847,0.5722772214254778,0.4300589877709744,48.191744505556606,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_10,low_10,195,0.5480750035384615,0.6730583482183405,-11.908084597103636,230.52465523144883,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_10,middle_80,1491,0.3500842123916834,0.45048052304174974,0.030479230005702074,27.126536462485145,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_10,high_10,207,0.9346158603864735,1.0519149262904697,-3.5374265486472387,29.921084709046152,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_5,overall,1893,0.4343981349529847,0.5722772214254778,0.4300589877709744,48.191744505556606,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_5,low_5,104,0.5618038993269231,0.6928144177693294,-17.363872031890633,350.5889112907087,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_5,middle_90,1684,0.3795812793562945,0.4879099841032319,0.2480973389454567,30.73692581521059,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_5,high_5,105,1.1873637095238097,1.269248356526393,-7.054650108911076,34.37654129086315,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_10,overall,1893,0.5430058632593766,0.7158470860002702,0.09443421618089232,71.68520290958149,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_10,low_10,210,0.7975538177142858,0.8472647191947342,-14.773798901713157,387.688583704135,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_10,middle_80,1495,0.38599032403344485,0.4772992916271203,-0.17850019945216822,30.25269674817593,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_10,high_10,188,1.5072779946808514,1.5957230288250845,-8.119445202080955,48.17928133748091,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_5,overall,1893,0.5430058632593766,0.7158470860002702,0.09443421618089232,71.68520290958149,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_5,low_5,109,0.9077898121100919,0.9464107857101622,-25.415724209247482,636.0411419438936,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
