sample_id,split
0,train
1,val
2,train
3,val
4,train
5,test
6,train
7,train
8,train
9,val
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,test
20,train
21,train
22,train
23,train
24,val
25,val
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,val
42,train
43,train
44,train
45,train
46,train
47,train
48,test
49,train
50,train
51,val
52,train
53,train
54,train
55,test
56,test
57,val
58,train
59,test
60,val
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,test
71,train
72,train
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,test
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,test
92,val
93,train
94,train
95,train
96,train
97,train
98,val
99,train
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,val
112,train
113,train
114,test
115,train
116,train
117,val
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,test
128,train
129,train
130,train
131,train
132,val
133,test
134,train
135,train
136,train
137,val
138,val
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,test
151,train
152,train
153,train
154,train
155,train
156,train
157,val
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,val
168,train
169,train
170,val
171,train
172,train
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,val
183,train
184,train
185,train
186,val
187,train
188,train
189,train
190,train
191,train
192,val
193,val
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,train
204,test
205,train
206,train
207,train
208,train
209,train
210,train
211,val
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,val
220,test
221,train
222,test
223,train
224,train
225,test
226,train
227,train
228,val
229,train
230,train
231,train
232,train
233,test
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,test
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,val
252,test
253,train
254,train
255,train
256,test
257,train
258,train
259,train
260,val
261,test
262,train
263,train
264,train
265,train
266,train
267,val
268,train
269,train
270,train
271,train
272,train
273,train
274,train
275,test
276,train
277,train
278,train
279,test
280,train
281,train
282,train
283,test
284,train
285,train
286,train
287,train
288,train
289,test
290,train
291,train
292,train
293,train
294,val
295,test
296,train
297,val
298,train
299,train
300,train
301,val
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,train
310,train
311,test
312,train
313,train
314,test
315,train
316,test
317,train
318,train
319,test
320,val
321,test
322,train
323,train
324,train
325,train
326,val
327,test
328,train
329,train
330,train
331,train
332,train
333,train
334,val
335,train
336,test
337,train
338,train
339,train
340,train
341,test
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,train
350,train
351,train
352,val
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,train
361,test
362,train
363,train
364,train
365,train
366,test
367,train
368,val
369,train
370,train
371,train
372,train
373,val
374,train
375,train
376,train
377,train
378,test
379,train
380,train
381,train
382,test
383,train
384,train
385,val
386,val
387,test
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,test
400,train
401,train
402,val
403,train
404,train
405,train
406,train
407,train
408,train
409,train
410,train
411,train
412,train
413,train
414,train
415,train
416,train
417,train
418,train
419,train
420,train
421,train
422,test
423,val
424,test
425,train
426,val
427,train
428,train
429,train
430,train
431,train
432,train
433,val
434,train
435,train
436,val
437,val
438,train
439,train
440,train
441,train
442,train
443,train
444,train
445,test
446,val
447,train
448,train
449,train
450,val
451,train
