sample_id,formula,reduced_formula,anonymous_formula,element_set,n_unique_elements,elements_json,element_counts_json,n_sites,target
0,Te1 Rh1 N3,TeRhN3,ABC3,N-Rh-Te,3,"[""N"", ""Rh"", ""Te""]","{""N"": 3.0, ""Rh"": 1.0, ""Te"": 1.0}",5,2.16
1,Hf1 Te1 O3,HfTeO3,ABC3,Hf-O-Te,3,"[""Hf"", ""O"", ""Te""]","{""Hf"": 1.0, ""O"": 3.0, ""Te"": 1.0}",5,1.52
2,Re1 As1 O2 F1,ReAsO2F,ABCD2,As-F-O-Re,4,"[""As"", ""F"", ""O"", ""Re""]","{""As"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Re"": 1.0}",5,1.48
3,Re1 W1 S1 O2,ReWSO2,ABCD2,O-Re-S-W,4,"[""O"", ""Re"", ""S"", ""W""]","{""O"": 2.0, ""Re"": 1.0, ""S"": 1.0, ""W"": 1.0}",5,1.24
4,Hf1 Bi1 O2 F1,HfBiO2F,ABCD2,Bi-F-Hf-O,4,"[""Bi"", ""F"", ""Hf"", ""O""]","{""Bi"": 1.0, ""F"": 1.0, ""Hf"": 1.0, ""O"": 2.0}",5,0.62
5,Li1 Y1 N1 O1 F1,LiYNOF,ABCDE,F-Li-N-O-Y,5,"[""F"", ""Li"", ""N"", ""O"", ""Y""]","{""F"": 1.0, ""Li"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Y"": 1.0}",5,1.48
6,Be1 W1 O2 F1,BeWO2F,ABCD2,Be-F-O-W,4,"[""Be"", ""F"", ""O"", ""W""]","{""Be"": 1.0, ""F"": 1.0, ""O"": 2.0, ""W"": 1.0}",5,1.56
7,Sc1 As1 N1 O2,ScAsNO2,ABCD2,As-N-O-Sc,4,"[""As"", ""N"", ""O"", ""Sc""]","{""As"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Sc"": 1.0}",5,1.2
8,Cr1 Te1 N2 O1,CrTeN2O,ABCD2,Cr-N-O-Te,4,"[""Cr"", ""N"", ""O"", ""Te""]","{""Cr"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Te"": 1.0}",5,1.62
9,Rb1 Sc1 S1 O2,RbScSO2,ABCD2,O-Rb-S-Sc,4,"[""O"", ""Rb"", ""S"", ""Sc""]","{""O"": 2.0, ""Rb"": 1.0, ""S"": 1.0, ""Sc"": 1.0}",5,3.16
10,Hf1 Co1 N1 O2,HfCoNO2,ABCD2,Co-Hf-N-O,4,"[""Co"", ""Hf"", ""N"", ""O""]","{""Co"": 1.0, ""Hf"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.4
11,Li1 Fe1 N2 O1,LiFeN2O,ABCD2,Fe-Li-N-O,4,"[""Fe"", ""Li"", ""N"", ""O""]","{""Fe"": 1.0, ""Li"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,2.74
12,Ru1 Pb1 O3,RuPbO3,ABC3,O-Pb-Ru,3,"[""O"", ""Pb"", ""Ru""]","{""O"": 3.0, ""Pb"": 1.0, ""Ru"": 1.0}",5,0.78
13,Ga1 Au1 S1 O2,GaAuSO2,ABCD2,Au-Ga-O-S,4,"[""Au"", ""Ga"", ""O"", ""S""]","{""Au"": 1.0, ""Ga"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.24
14,Cs1 Hg1 N1 O1 F1,CsHgNOF,ABCDE,Cs-F-Hg-N-O,5,"[""Cs"", ""F"", ""Hg"", ""N"", ""O""]","{""Cs"": 1.0, ""F"": 1.0, ""Hg"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.76
15,Os1 W1 N1 O2,OsWNO2,ABCD2,N-O-Os-W,4,"[""N"", ""O"", ""Os"", ""W""]","{""N"": 1.0, ""O"": 2.0, ""Os"": 1.0, ""W"": 1.0}",5,1.5
16,Y1 Hg1 N3,YHgN3,ABC3,Hg-N-Y,3,"[""Hg"", ""N"", ""Y""]","{""Hg"": 1.0, ""N"": 3.0, ""Y"": 1.0}",5,2.06
17,Hg1 Te1 O3,HgTeO3,ABC3,Hg-O-Te,3,"[""Hg"", ""O"", ""Te""]","{""Hg"": 1.0, ""O"": 3.0, ""Te"": 1.0}",5,1.06
18,Mg1 Ru1 O3,MgRuO3,ABC3,Mg-O-Ru,3,"[""Mg"", ""O"", ""Ru""]","{""Mg"": 1.0, ""O"": 3.0, ""Ru"": 1.0}",5,1.7
