element_set,group_size,target_mean,target_std,target_min,target_max,n_unique_elements_mean
Ag-Al-N-O,4,1.8,0.32290349435499566,1.4,2.1,4.0
Ag-As-N-O,4,1.8399999999999999,0.4029888335921977,1.38,2.32,4.0
Ag-Au-N-O,4,2.1500000000000004,0.0930949336251263,2.06,2.24,4.0
Ag-B-N-O,4,2.62,0.7235099630735341,1.96,3.5,4.0
Ag-Ba-N-O,4,2.05,0.589349924351682,1.34,2.72,4.0
Ag-Be-N-O,4,2.635,0.6182502190321757,2.0,3.26,4.0
Ag-Bi-N-O,4,1.745,0.2537058664411737,1.48,2.0,4.0
Ag-Ca-N-O,4,1.8900000000000001,0.24358434541926824,1.66,2.12,4.0
Ag-Cd-N-O,4,2.085,0.22293496809607952,1.82,2.36,4.0
Ag-Co-N-O,4,1.765,0.2390955178723907,1.48,2.0,4.0
Ag-Cr-N-O,4,1.38,0.40693979898751603,0.9,1.8,4.0
Ag-Cs-N-O,4,2.445,0.4416257842714048,1.94,2.96,4.0
Ag-Cu-N-O,4,2.025,0.1279322737493034,1.88,2.16,4.0
Ag-Fe-N-O,4,1.65,0.31176914536239797,1.28,1.98,4.0
Ag-Ga-N-O,4,1.795,0.29137604568666936,1.42,2.12,4.0
Ag-Ge-N-O,4,1.5699999999999998,0.31853832841067437,1.16,1.9,4.0
Ag-Hf-N-O,4,1.63,0.5756156124822652,1.14,2.36,4.0
Ag-Hg-N-O,4,2.2750000000000004,0.1560982596529078,2.14,2.5,4.0
Ag-In-N-O,4,1.665,0.18999999999999997,1.46,1.88,4.0
Ag-Ir-N-O,4,2.085,0.7327346040688948,1.5,3.1,4.0
Ag-K-N-O,4,2.415,0.7833900688673555,1.72,3.46,4.0
Ag-La-N-O,4,1.695,0.33877229323937724,1.32,2.1,4.0
Ag-Li-N-O,4,2.445,0.38759944960401244,2.0,2.86,4.0
Ag-Mg-N-O,4,2.015,0.3151190251317746,1.68,2.34,4.0
Ag-Mn-N-O,4,1.53,0.39004273270160195,1.04,1.94,4.0
Ag-Mo-N-O,4,1.28,0.6059702963017246,0.66,1.8,4.0
Ag-N-Na-O,4,2.15,0.40016663195890434,1.78,2.58,4.0
Ag-N-Nb-O,4,1.225,0.5772059135756205,0.64,1.76,4.0
Ag-N-Ni-O,4,1.865,0.1636052158907737,1.64,2.02,4.0
Ag-N-O-Os,4,1.6099999999999999,0.46547466812563126,1.16,2.06,4.0
Ag-N-O-Pb,4,1.88,0.20461345670963754,1.68,2.14,4.0
Ag-N-O-Pd,4,2.24,0.37841775856849,1.86,2.64,4.0
Ag-N-O-Pt,4,1.91,0.062182527020592036,1.82,1.96,4.0
Ag-N-O-Rb,4,2.735,0.8476437931112337,1.74,3.78,4.0
