reduced_formula,group_size,target_mean,target_std,target_min,target_max,n_unique_elements_mean
AgAsN2O,2,1.83,0.2121320343559642,1.68,1.98,4.0
AgAsN3,2,2.3,0.5656854249492383,1.9,2.7,3.0
AgAsNO2,2,1.8499999999999999,0.6646803743153546,1.38,2.32,4.0
AgAsNOF,2,1.48,0.5939696961966998,1.06,1.9,5.0
AgAsO2F,2,1.22,0.6788225099390857,0.74,1.7,4.0
AgAsO3,2,1.4,0.3959797974644666,1.12,1.68,3.0
AgAsSO2,2,1.42,0.7071067811865475,0.92,1.92,4.0
AgAuN2O,2,2.2300000000000004,0.01414213562373112,2.22,2.24,4.0
AgAuN3,2,2.5599999999999996,0.33941125496954294,2.32,2.8,3.0
AgAuNO2,2,2.0700000000000003,0.014142135623730807,2.06,2.08,4.0
AgAuNOF,2,1.6800000000000002,0.16970562748477133,1.56,1.8,5.0
AgAuO2F,2,1.52,0.16970562748477133,1.4,1.64,4.0
AgAuO3,2,2.02,0.05656854249492385,1.98,2.06,3.0
AgAuSO2,2,1.44,0.11313708498984747,1.36,1.52,4.0
AgBN2O,2,2.51,0.5798275605729687,2.1,2.92,4.0
AgBN3,2,2.45,0.24041630560342622,2.28,2.62,3.0
AgBNO2,2,2.73,1.0889444430272832,1.96,3.5,4.0
AgBNOF,2,2.38,1.0182337649086286,1.66,3.1,5.0
AgBO2F,2,2.1799999999999997,1.0748023074035522,1.42,2.94,4.0
AgBO3,2,2.3,0.7636753236814713,1.76,2.84,3.0
AgBSO2,2,1.83,0.4949747468305834,1.48,2.18,4.0
AgBiN2O,2,1.96,0.05656854249492385,1.92,2.0,4.0
AgBiN3,2,2.0999999999999996,0.22627416997969493,1.94,2.26,3.0
AgBiNO2,2,1.53,0.07071067811865482,1.48,1.58,4.0
AgBiNOF,2,1.35,0.21213203435596437,1.2,1.5,5.0
AgBiO2F,2,1.03,0.3252691193458118,0.8,1.26,4.0
AgBiO3,2,1.3199999999999998,0.1414213562373094,1.22,1.42,3.0
AgBiSO2,2,1.1600000000000001,0.28284271247461906,0.96,1.36,4.0
AgGeN2O,2,1.7,0.28284271247461895,1.5,1.9,4.0
AgGeN3,2,1.83,0.04242640687119289,1.8,1.86,3.0
AgGeNO2,2,1.44,0.39597979746446665,1.16,1.72,4.0
AgGeNOF,2,1.31,0.5798275605729689,0.9,1.72,5.0
AgGeO2F,2,0.98,0.6222539674441617,0.54,1.42,4.0
AgGeO3,2,1.23,0.46669047558312143,0.9,1.56,3.0
AgGeSO2,2,1.16,0.3676955262170047,0.9,1.42,4.0
AgHgN2O,2,2.3600000000000003,0.197989898732233,2.22,2.5,4.0
AgHgN3,2,2.6100000000000003,0.09899494936611658,2.54,2.68,3.0
AgHgNO2,2,2.1900000000000004,0.07071067811865497,2.14,2.24,4.0
AgHgNOF,2,1.6,0.028284271247461926,1.58,1.62,5.0
AgHgO2F,2,1.3900000000000001,0.04242640687119281,1.36,1.42,4.0
AgHgO3,2,2.02,0.08485281374238578,1.96,2.08,3.0
AgHgSO2,2,1.57,0.4101219330881976,1.28,1.86,4.0
AgIrN2O,2,2.35,1.0606601717798212,1.6,3.1,4.0
AgIrN3,2,1.78,0.1131370849898477,1.7,1.86,3.0
AgIrNO2,2,1.82,0.45254833995939053,1.5,2.14,4.0
AgIrNOF,2,1.76,0.9616652224137046,1.08,2.44,5.0
