split_strategy,model,train_fraction,n_train,n_test,descriptor_note,mae,rmse,r2,mae_low_10,mae_middle_80,mae_high_10
random_iid,dummy_mean,1.0,15142,1893,,0.5834022816090787,0.7584068751664198,-0.0009710392093735809,1.0569557183449667,0.3870721684042528,1.5514471058839445
random_iid,rf_starter_descriptors,1.0,15142,1893,starter descriptors generated with existing featurize() helper,0.420987321711569,0.5725006458310947,0.4296138762604441,0.6590276923076923,0.3287232729711603,0.8613149758454105
random_iid,dummy_mean,0.25,3786,1893,,0.58301204230896,0.7585205371516175,-0.001271091555060444,1.0535514649112114,0.3865493152611744,1.5548513593176998
random_iid,rf_starter_descriptors,0.25,3786,1893,starter descriptors generated with existing featurize() helper,0.47941109350237715,0.6312292576393677,0.306588196148913,0.7723600000000002,0.36966572769953054,0.9939294685990339
group_reduced_formula,dummy_mean,1.0,15136,1892,,0.5645460272249015,0.7347400276796556,-0.0005223318134184307,1.068962614352611,0.3720602406100795,1.5407885030793274
group_reduced_formula,rf_starter_descriptors,1.0,15136,1892,starter descriptors generated with existing featurize() helper,0.4201244186046512,0.5590887929608108,0.420676748283042,0.6943859813084113,0.3318763052208835,0.8176826086956523
group_reduced_formula,dummy_mean,0.25,3784,1892,,0.565844609996916,0.7350187082597014,-0.0012814547996526926,1.0784697496591649,0.3735138581103837,1.5312813677727732
group_reduced_formula,rf_starter_descriptors,0.25,3784,1892,starter descriptors generated with existing featurize() helper,0.46267558139534887,0.6129919804165208,0.3035836291261964,0.7854392523364486,0.36066680053547523,0.915554347826087
group_element_set,dummy_mean,1.0,15104,1917,,0.5640612773865413,0.7417739318819437,-0.0008899243229711917,1.0703881048387098,0.3710062334874505,1.5447731854838707
group_element_set,rf_starter_descriptors,1.0,15104,1917,starter descriptors generated with existing featurize() helper,0.41966009389671366,0.5671559600179028,0.41487563321912546,0.7030092165898617,0.3280788639365918,0.8345376344086023
group_element_set,dummy_mean,0.25,3776,1917,,0.5633970667223681,0.7416351933498724,-0.000515554163029952,1.0651047361946417,0.37027340164117956,1.5500565541279392
group_element_set,rf_starter_descriptors,0.25,3776,1917,starter descriptors generated with existing featurize() helper,0.45425633802816906,0.6048880140194828,0.33443091454212526,0.7458884792626728,0.3523961690885073,0.9431387096774195
