sample_id,target,pca_1,pca_2,is_low_10,is_high_10,is_middle_80,is_low_5,is_high_5,tail_10_label,random_iid_split,group_element_set_split
0,2.16,0.9958773394322126,-1.2483129253668683,False,False,True,False,False,middle_80,train,train
1,1.52,2.1306717493296032,-0.20802145626261145,False,False,True,False,False,middle_80,train,train
2,1.48,0.9101319237110049,0.5530505422690385,False,False,True,False,False,middle_80,train,train
3,1.24,2.852988852293282,0.09993245408195275,False,False,True,False,False,middle_80,test,train
4,0.62,2.9162020027537934,0.47713656461155135,True,False,False,False,False,low_10,train,train
5,1.48,-2.0294258931748623,-0.11600223016291843,False,False,True,False,False,middle_80,train,train
6,1.56,0.3768928651215204,0.010642700004113374,False,False,True,False,False,middle_80,test,train
7,1.2,-1.6035656557126015,-0.8260952127373676,False,False,True,False,False,middle_80,train,train
8,1.62,-0.44441196946706385,-0.4366614999086885,False,False,True,False,False,middle_80,train,val
9,3.16,-1.8039980308455477,2.1500092549517746,False,True,False,False,True,high_10,train,train
10,1.4,0.7052124169126297,0.04595132791760383,False,False,True,False,False,middle_80,train,train
11,2.74,-2.355621186492425,-1.522906119222837,False,True,False,False,False,high_10,train,train
12,0.78,2.809532836707124,-0.9632077775799212,False,False,True,False,False,middle_80,train,train
13,1.24,1.199370941925507,0.5015660205913701,False,False,True,False,False,middle_80,train,val
14,1.76,0.9678230734290065,2.368752929847994,False,False,True,False,False,middle_80,train,train
15,1.5,3.1941381717687722,-0.49406666846363806,False,False,True,False,False,middle_80,train,train
16,2.06,2.242249665465402,-0.5118865913629248,False,False,True,False,False,middle_80,train,train
17,1.06,2.7668920738890463,-0.5006034913445325,False,False,True,False,False,middle_80,train,train
18,1.7,-0.6707715221999593,-1.5977335157445742,False,False,True,False,False,middle_80,train,train
19,0.46,-1.760626653345452,0.4953508915400879,True,False,False,True,False,low_10,test,train
20,1.08,-1.7338472368332514,-0.5716806566722689,False,False,True,False,False,middle_80,train,train
21,1.28,-0.955694653950458,0.4665845375355007,False,False,True,False,False,middle_80,train,train
22,1.76,0.127385341814916,1.4013525356066563,False,False,True,False,False,middle_80,train,train
23,1.68,-3.599574259255548,-0.34732456184580407,False,False,True,False,False,middle_80,train,train
24,0.82,-1.7294395771158233,-1.5150386666689915,False,False,True,False,False,middle_80,train,train
25,1.16,1.8440227642600175,0.1175586214720831,False,False,True,False,False,middle_80,train,train
26,1.18,-0.8602168536129485,1.0411709713484127,False,False,True,False,False,middle_80,train,test
27,1.24,-0.9059910123280555,1.1749414013693873,False,False,True,False,False,middle_80,train,test
28,0.32,1.5748364657287561,-0.9597647987267605,True,False,False,True,False,low_10,train,train
29,0.6,1.5188111484034983,-1.0229075644324184,True,False,False,False,False,low_10,val,train
30,2.3,-3.8153268438319126,1.8707406900887176,False,False,True,False,False,middle_80,train,train
31,0.66,-0.624552207230833,-1.2405124034245596,False,False,True,False,False,middle_80,train,train
32,2.0,-0.6635229212402532,0.9049344617147743,False,False,True,False,False,middle_80,train,train
33,0.62,-1.371102087506705,0.017314083104967477,True,False,False,False,False,low_10,train,train
34,0.98,1.5022100972656975,2.0673570764544498,False,False,True,False,False,middle_80,val,train
35,1.3,0.8056673843571961,-0.30430402299240694,False,False,True,False,False,middle_80,test,train
36,0.58,-1.2950130928616375,0.5927948948949323,True,False,False,False,False,low_10,train,val
37,1.18,2.5633096834747637,-0.19170764389089734,False,False,True,False,False,middle_80,train,train
38,1.34,0.39706761758226045,-0.43483368317580945,False,False,True,False,False,middle_80,train,train
39,0.76,1.2031267814043045,1.287630134706161,False,False,True,False,False,middle_80,train,train
40,1.16,-0.8176357230186296,-0.8475809005426866,False,False,True,False,False,middle_80,train,test
41,1.28,-0.9104972402477438,-0.8206951640101586,False,False,True,False,False,middle_80,train,train
42,1.4,2.242474848106883,-1.0936943943935036,False,False,True,False,False,middle_80,test,train
43,2.96,0.10450163855593214,2.18568122519521,False,True,False,False,True,high_10,train,train
44,0.72,0.8605497894767696,0.5026639208608815,False,False,True,False,False,middle_80,train,val
45,0.6,-2.0237357840584913,-0.5703907918400133,True,False,False,False,False,low_10,train,test
46,0.68,2.1828305521488676,-1.1578368475908423,False,False,True,False,False,middle_80,train,train
47,0.7,-1.068739764974857,1.247335487820512,False,False,True,False,False,middle_80,test,train
48,2.84,-0.5928742218002948,-1.5614901662634926,False,True,False,False,False,high_10,train,train
49,1.18,1.33554815750967,0.997896608256392,False,False,True,False,False,middle_80,train,train
50,0.56,1.465305918386335,1.2058277755033315,True,False,False,False,False,low_10,val,val
51,0.92,-0.7356465264046664,0.7346403851387735,False,False,True,False,False,middle_80,train,train
52,0.98,-0.5378614698304613,-0.6856418494375441,False,False,True,False,False,middle_80,train,train
53,3.2,-0.6958045568509333,0.826540125363977,False,True,False,False,True,high_10,val,train
54,1.48,-2.1475118992558504,-0.10605488599860825,False,False,True,False,False,middle_80,train,train
55,1.36,3.0302553121997784,1.0478443038306278,False,False,True,False,False,middle_80,train,train
56,1.78,1.8004372102689314,0.20346303373624372,False,False,True,False,False,middle_80,train,train
57,0.84,-0.6966024668514782,-0.796252201780299,False,False,True,False,False,middle_80,test,train
58,0.36,-0.3595436154298784,0.4610930223854709,True,False,False,True,False,low_10,train,train
59,0.64,1.3979655598625582,-0.11425327364369811,True,False,False,False,False,low_10,test,val
60,1.44,-0.4996664941990122,-1.0029939424565075,False,False,True,False,False,middle_80,train,train
61,0.0,1.2406284691049896,-0.13652519026153875,True,False,False,True,False,low_10,train,train
62,1.24,1.8741537723256823,0.4304358376455155,False,False,True,False,False,middle_80,val,train
63,1.36,2.4410800159627315,-0.41958956308341644,False,False,True,False,False,middle_80,train,train
