sample_id,split_strategy,metric,nearest_train_sample_id,nearest_train_composition_distance,target
3,random_iid,cosine,16713,3.3306690738754696e-16,1.24
6,random_iid,cosine,407,0.08831538832289654,1.56
19,random_iid,cosine,3331,1.1102230246251565e-16,0.46
35,random_iid,cosine,6816,1.1102230246251565e-16,1.3
42,random_iid,cosine,9690,1.1102230246251565e-16,1.4
47,random_iid,cosine,4323,1.1102230246251565e-16,0.7
57,random_iid,cosine,14460,2.220446049250313e-16,0.84
59,random_iid,cosine,9690,0.08831538832289654,0.64
72,random_iid,cosine,17943,1.1102230246251565e-16,0.82
88,random_iid,cosine,13469,1.1102230246251565e-16,0.62
101,random_iid,cosine,14839,0.07549967295795157,1.48
103,random_iid,cosine,15730,1.1102230246251565e-16,0.42
119,random_iid,cosine,16213,2.220446049250313e-16,1.7
123,random_iid,cosine,7165,2.220446049250313e-16,1.0
127,random_iid,cosine,2860,0.08831538832289643,0.48
134,random_iid,cosine,503,0.15484574527148354,0.56
137,random_iid,cosine,7908,2.220446049250313e-16,1.6
169,random_iid,cosine,13945,2.220446049250313e-16,-0.04
200,random_iid,cosine,2303,0.08831538832289654,2.18
217,random_iid,cosine,15957,2.220446049250313e-16,1.42
247,random_iid,cosine,16379,0.0,0.84
251,random_iid,cosine,488,2.220446049250313e-16,0.14
273,random_iid,cosine,8411,0.08013378899220025,0.92
286,random_iid,cosine,3878,0.15484574527148354,1.14
290,random_iid,cosine,17997,1.1102230246251565e-16,1.22
291,random_iid,cosine,10694,2.220446049250313e-16,2.66
313,random_iid,cosine,4201,1.1102230246251565e-16,0.82
322,random_iid,cosine,8073,2.220446049250313e-16,1.62
323,random_iid,cosine,3346,2.220446049250313e-16,0.42
326,random_iid,cosine,12147,2.220446049250313e-16,0.32
327,random_iid,cosine,6645,1.1102230246251565e-16,1.18
344,random_iid,cosine,3036,0.08831538832289654,1.46
351,random_iid,cosine,18692,1.1102230246251565e-16,1.62
361,random_iid,cosine,10233,0.0,0.8
379,random_iid,cosine,1781,3.3306690738754696e-16,2.4
387,random_iid,cosine,15832,2.220446049250313e-16,2.02
401,random_iid,cosine,15743,2.220446049250313e-16,0.88
409,random_iid,cosine,798,0.15484574527148354,1.42
410,random_iid,cosine,1893,1.1102230246251565e-16,1.0
423,random_iid,cosine,1690,2.220446049250313e-16,0.98
424,random_iid,cosine,8175,2.220446049250313e-16,1.9
438,random_iid,cosine,15331,3.3306690738754696e-16,1.3
450,random_iid,cosine,15109,1.1102230246251565e-16,1.2
460,random_iid,cosine,3199,1.1102230246251565e-16,1.0
467,random_iid,cosine,13302,0.0,0.08
476,random_iid,cosine,872,0.0,0.72
485,random_iid,cosine,14315,1.1102230246251565e-16,0.84
487,random_iid,cosine,2490,2.220446049250313e-16,0.6
542,random_iid,cosine,14589,0.08831538832289654,2.46
549,random_iid,cosine,10059,0.07549967295795157,0.88
553,random_iid,cosine,9790,2.220446049250313e-16,2.56
558,random_iid,cosine,17510,2.220446049250313e-16,1.26
563,random_iid,cosine,15799,3.3306690738754696e-16,1.62
576,random_iid,cosine,4264,2.220446049250313e-16,2.2
608,random_iid,cosine,3804,2.220446049250313e-16,1.4
621,random_iid,cosine,7977,2.220446049250313e-16,1.5
635,random_iid,cosine,11961,1.1102230246251565e-16,0.96
651,random_iid,cosine,9160,0.0,2.28
657,random_iid,cosine,3167,0.11111111111111116,1.26
705,random_iid,cosine,12468,1.1102230246251565e-16,1.0
707,random_iid,cosine,7810,1.1102230246251565e-16,0.64
708,random_iid,cosine,11755,2.220446049250313e-16,0.88
715,random_iid,cosine,6478,1.1102230246251565e-16,1.98
729,random_iid,cosine,1543,2.220446049250313e-16,0.5
733,random_iid,cosine,12557,1.1102230246251565e-16,2.86
736,random_iid,cosine,8643,1.1102230246251565e-16,1.8
744,random_iid,cosine,7789,1.1102230246251565e-16,1.28
751,random_iid,cosine,11263,1.1102230246251565e-16,1.38
795,random_iid,cosine,4028,0.08831538832289643,0.56
817,random_iid,cosine,1631,3.3306690738754696e-16,0.56
820,random_iid,cosine,5642,2.220446049250313e-16,1.5
828,random_iid,cosine,17579,1.1102230246251565e-16,2.26
852,random_iid,cosine,565,2.220446049250313e-16,2.46
856,random_iid,cosine,1542,1.1102230246251565e-16,1.4
878,random_iid,cosine,2789,0.08831538832289654,2.66
927,random_iid,cosine,588,0.15484574527148354,0.32
928,random_iid,cosine,446,2.220446049250313e-16,0.66
936,random_iid,cosine,4554,2.220446049250313e-16,0.84
960,random_iid,cosine,1299,3.3306690738754696e-16,1.12
963,random_iid,cosine,11248,1.1102230246251565e-16,1.62
967,random_iid,cosine,2089,0.08831538832289654,1.58
970,random_iid,cosine,7914,1.1102230246251565e-16,1.28
971,random_iid,cosine,2926,0.07549967295795157,2.2
977,random_iid,cosine,1636,2.220446049250313e-16,1.24
980,random_iid,cosine,5252,1.1102230246251565e-16,1.42
1020,random_iid,cosine,18888,2.220446049250313e-16,0.72
1023,random_iid,cosine,11611,2.220446049250313e-16,1.46
1026,random_iid,cosine,16716,2.220446049250313e-16,2.56
1027,random_iid,cosine,12346,2.220446049250313e-16,1.38
1034,random_iid,cosine,3863,0.0,0.72
1035,random_iid,cosine,250,0.08831538832289643,1.28
1066,random_iid,cosine,7033,2.220446049250313e-16,1.24
1071,random_iid,cosine,11562,2.220446049250313e-16,1.6
1084,random_iid,cosine,17039,0.0,2.42
1086,random_iid,cosine,1041,1.1102230246251565e-16,0.6
1087,random_iid,cosine,5485,0.08831538832289654,0.9
1092,random_iid,cosine,17461,2.220446049250313e-16,0.9
1114,random_iid,cosine,16728,2.220446049250313e-16,1.02
1144,random_iid,cosine,16435,3.3306690738754696e-16,2.02
1147,random_iid,cosine,2424,0.08013378899220025,2.66
1157,random_iid,cosine,798,0.15484574527148354,3.72
1158,random_iid,cosine,4437,2.220446049250313e-16,2.24
1162,random_iid,cosine,12578,1.1102230246251565e-16,0.98
1163,random_iid,cosine,13884,2.220446049250313e-16,2.88
1182,random_iid,cosine,17304,1.1102230246251565e-16,0.46
1199,random_iid,cosine,12375,2.220446049250313e-16,2.24
1213,random_iid,cosine,5399,0.08831538832289643,1.48
1261,random_iid,cosine,11214,1.1102230246251565e-16,1.4
1272,random_iid,cosine,12318,0.08831538832289654,1.16
1290,random_iid,cosine,3288,0.08831538832289654,1.46
1297,random_iid,cosine,6021,2.220446049250313e-16,1.48
1303,random_iid,cosine,5660,2.220446049250313e-16,2.28
1321,random_iid,cosine,5074,2.220446049250313e-16,1.18
1323,random_iid,cosine,11574,0.08013378899220025,2.54
1328,random_iid,cosine,17743,0.0,0.12
1346,random_iid,cosine,8694,2.220446049250313e-16,2.52
1347,random_iid,cosine,10860,1.1102230246251565e-16,1.38
1350,random_iid,cosine,5573,1.1102230246251565e-16,1.38
1383,random_iid,cosine,1677,0.08831538832289643,0.66
1396,random_iid,cosine,8915,0.0,1.56
1397,random_iid,cosine,3700,1.1102230246251565e-16,1.18
1419,random_iid,cosine,14779,0.0,1.4
1427,random_iid,cosine,7278,1.1102230246251565e-16,3.78
1429,random_iid,cosine,180,0.11808289631180324,1.94
1430,random_iid,cosine,11149,0.0,0.62
1444,random_iid,cosine,305,0.08831538832289643,2.44
1450,random_iid,cosine,7406,2.220446049250313e-16,0.86
1453,random_iid,cosine,7059,1.1102230246251565e-16,0.78
1456,random_iid,cosine,6351,0.08831538832289643,1.64
1493,random_iid,cosine,10492,2.220446049250313e-16,1.04
1510,random_iid,cosine,5168,2.220446049250313e-16,1.84
1512,random_iid,cosine,15680,0.08831538832289654,0.94
1527,random_iid,cosine,4540,2.220446049250313e-16,0.82
1554,random_iid,cosine,9890,1.1102230246251565e-16,1.0
1557,random_iid,cosine,14909,2.220446049250313e-16,1.0
1580,random_iid,cosine,9212,0.08013378899220025,1.88
1599,random_iid,cosine,16721,0.08013378899220014,1.02
1611,random_iid,cosine,11109,0.08831538832289643,1.16
1624,random_iid,cosine,7937,2.220446049250313e-16,0.94
1632,random_iid,cosine,1398,0.15484574527148354,1.02
1640,random_iid,cosine,11400,1.1102230246251565e-16,0.82
1697,random_iid,cosine,10769,0.08831538832289643,0.62
1704,random_iid,cosine,13116,1.1102230246251565e-16,2.56
1705,random_iid,cosine,956,2.220446049250313e-16,0.94
1710,random_iid,cosine,18084,2.220446049250313e-16,1.74
1712,random_iid,cosine,14767,2.220446049250313e-16,2.62
1722,random_iid,cosine,1435,0.15484574527148354,1.42
1729,random_iid,cosine,17003,2.220446049250313e-16,1.04
1730,random_iid,cosine,15294,2.220446049250313e-16,1.52
1747,random_iid,cosine,5470,0.08831538832289654,0.54
1768,random_iid,cosine,11165,2.220446049250313e-16,1.36
1804,random_iid,cosine,6124,2.220446049250313e-16,0.52
1807,random_iid,cosine,1149,0.08013378899220025,2.22
1838,random_iid,cosine,15680,0.08831538832289654,1.28
1862,random_iid,cosine,5978,0.08013378899220025,0.68
1869,random_iid,cosine,14518,0.07549967295795157,0.9
1901,random_iid,cosine,4764,0.08831538832289643,0.7
1905,random_iid,cosine,14564,2.220446049250313e-16,1.34
1944,random_iid,cosine,26,3.3306690738754696e-16,0.62
1952,random_iid,cosine,16389,0.0,0.22
1957,random_iid,cosine,3158,2.220446049250313e-16,2.22
1981,random_iid,cosine,9035,0.08831538832289654,1.96
1983,random_iid,cosine,15757,0.08831538832289654,1.16
2008,random_iid,cosine,18383,1.1102230246251565e-16,1.62
2020,random_iid,cosine,6461,2.220446049250313e-16,2.04
2026,random_iid,cosine,13064,0.08831538832289643,0.82
