sample_id,split_strategy,test_element_set,nearest_train_element_set,max_jaccard_similarity,n_shared_elements,n_test_elements,n_train_elements_nearest,target
3,random_iid,O-Re-S-W,O-Re-S-W,1.0,4,4,4,1.24
6,random_iid,Be-F-O-W,Be-F-N-O-W,0.8,4,4,5,1.56
19,random_iid,F-N-O-Sr-V,F-N-O-Sr-V,1.0,5,5,5,0.46
35,random_iid,Au-F-N-O-Si,Au-F-N-O-Si,1.0,5,5,5,1.3
42,random_iid,Mo-O-W,Mo-O-W,1.0,3,3,3,1.4
47,random_iid,Cs-F-N-O-Ti,Cs-F-N-O-Ti,1.0,5,5,5,0.7
57,random_iid,Cr-N-O-Pd,Cr-N-O-Pd,1.0,4,4,4,0.84
59,random_iid,Mo-N-O-W,F-Mo-N-O-W,0.8,4,4,5,0.64
72,random_iid,In-Mo-N,In-Mo-N,1.0,3,3,3,0.82
88,random_iid,O-Te-V,O-Te-V,1.0,3,3,3,0.62
101,random_iid,N-Ni,Ag-N-Ni,0.6666666666666666,2,2,3,1.48
103,random_iid,O-Re-Tl,O-Re-Tl,1.0,3,3,3,0.42
119,random_iid,Ga-La-N-O,Ga-La-N-O,1.0,4,4,4,1.7
123,random_iid,Hf-N-O-Pd,Hf-N-O-Pd,1.0,4,4,4,1.0
127,random_iid,O-S-Sn-Ti,O-S-Sn,0.75,3,4,3,0.48
134,random_iid,F-Ga-N-O-V,F-Ga-N-O,0.8,4,5,4,0.56
137,random_iid,Ba-O-Pb-S,Ba-O-Pb-S,1.0,4,4,4,1.6
169,random_iid,Ag-F-O-Ti,Ag-F-O-Ti,1.0,4,4,4,-0.04
200,random_iid,B-Ir-N-O,B-Ir-N-O,1.0,4,4,4,2.18
217,random_iid,Bi-N-O-Zr,Bi-N-O-Zr,1.0,4,4,4,1.42
247,random_iid,Ba-N-V,Ba-N-V,1.0,3,3,3,0.84
251,random_iid,Ba-N-O-Zr,Ba-N-O-Zr,1.0,4,4,4,0.14
273,random_iid,Cd-O-Sr,Cd-F-O-Sr,0.75,3,3,4,0.92
286,random_iid,F-N-O-Y-Zn,F-N-O-Y,0.8,4,5,4,1.14
290,random_iid,In-N-Os,In-N-Os,1.0,3,3,3,1.22
