strategy,seed,split,n_samples,fraction,n_reduced_formula_groups,n_element_set_groups,n_elements,n_low_10,n_middle_80,n_high_10,count,mean,std,min,max,skewness,q01,q05,q10,q25,q50,q75,q90,q95,q99,train_test_overlap_reduced_formula,train_test_overlap_element_set,test_objects_seen_in_train_fraction_reduced_formula,test_objects_seen_in_train_fraction_element_set,n_train_elements,n_test_elements,test_elements_absent_from_train
group_reduced_formula,0,train,15141,0.7999260355029586,7716,6831,56,1614,11977,1550,15141,1.469802522950928,0.7473972411196501,-0.64,5.16,0.961577551413934,0.14,0.46,0.64,0.96,1.36,1.86,2.44,2.9,3.84,,,,,,,
group_reduced_formula,0,val,1895,0.10011622992392223,965,947,56,183,1518,194,1895,1.48798944591029,0.726911070364191,-0.58,4.42,0.840645709143938,0.12,0.5,0.66,1.0,1.38,1.86,2.44,2.905999999999999,3.76,,,,,,,
group_reduced_formula,0,test,1892,0.09995773457311918,965,948,56,197,1518,177,1892,1.4628858350951373,0.7183819895345112,-0.26,4.76,0.8441125922572954,0.18,0.48,0.64,0.96,1.38,1.84,2.38,2.848999999999996,3.66,0.0,216.0,0.0,0.22463002114164904,56.0,56.0,
group_reduced_formula,1,train,15146,0.8001901944209636,7716,6813,56,1574,12013,1559,15146,1.4722659448039086,0.7422994456443555,-0.64,5.16,0.9351171580158834,0.14,0.46,0.64,0.98,1.38,1.86,2.46,2.88,3.8,,,,,,,
group_reduced_formula,1,val,1894,0.10006339814032121,965,953,56,197,1510,187,1894,1.46480464625132,0.7265368714147632,-0.38,4.7,0.926646670763621,0.2,0.46,0.64,0.96,1.36,1.84,2.414000000000001,2.8869999999999982,3.6813999999999987,,,,,,,
group_reduced_formula,1,test,1888,0.09974640743871513,965,951,56,223,1490,175,1888,1.4663771186440677,0.7601034778422181,-0.32,4.78,0.983748442342674,0.09740000000000003,0.44,0.6,0.96,1.36,1.8450000000000002,2.34,2.94,3.9825999999999975,0.0,199.0,0.0,0.2065677966101695,56.0,56.0,
group_reduced_formula,2,train,15137,0.7997147083685545,7716,6852,56,1580,12056,1501,15137,1.4670172425183323,0.7370912270821508,-0.64,4.98,0.9572141043780363,0.14,0.46,0.64,0.96,1.36,1.84,2.42,2.86,3.82,,,,,,,
group_reduced_formula,2,val,1901,0.10043322062552831,965,955,56,207,1491,203,1901,1.485796948974224,0.7547401496445139,-0.3,5.16,0.8955867810765624,0.12,0.44,0.64,0.98,1.36,1.88,2.5,2.9,3.74,,,,,,,
group_reduced_formula,2,test,1890,0.09985207100591716,965,952,56,207,1466,217,1890,1.4873333333333334,0.7726517764180095,-0.58,4.7,0.8490509723979233,0.08,0.4,0.62,0.965,1.37,1.9,2.54,2.98,3.84,0.0,222.0,0.0,0.22804232804232805,56.0,56.0,
group_reduced_formula,3,train,15143,0.8000316990701606,7716,6873,56,1603,11992,1548,15143,1.4709529155385326,0.7433672256811782,-0.64,4.96,0.9432211465838409,0.14,0.46,0.64,0.96,1.36,1.86,2.44,2.9,3.8115999999999985,,,,,,,
group_reduced_formula,3,val,1892,0.09995773457311918,965,944,56,181,1516,195,1892,1.4763530655391122,0.7204414432578972,-0.14,4.56,0.8616297023197795,0.13640000000000002,0.48,0.66,0.98,1.38,1.8250000000000002,2.46,2.84,3.7017999999999986,,,,,,,
group_reduced_formula,3,test,1893,0.1000105663567202,965,948,56,210,1505,178,1893,1.4653460116217645,0.7574915130673919,-0.36,5.16,0.9803108227282793,0.06,0.44,0.62,0.96,1.36,1.86,2.4,2.94,3.8815999999999984,0.0,231.0,0.0,0.24088748019017434,56.0,56.0,
group_reduced_formula,4,train,15150,0.8004015215553677,7716,6835,56,1579,12030,1541,15150,1.4694600660066006,0.7452704477940439,-0.64,5.16,0.9655057108263193,0.14,0.46,0.64,0.98,1.36,1.84,2.44,2.9,3.82,,,,,,,
group_reduced_formula,4,val,1886,0.0996407438715131,965,951,56,201,1481,204,1886,1.5022799575821846,0.7483108462685686,-0.36,4.86,0.8745155283391733,0.13700000000000004,0.46,0.63,0.98,1.42,1.9,2.46,2.915,3.82,,,,,,,
group_reduced_formula,4,test,1892,0.09995773457311918,965,955,56,214,1502,176,1892,1.4514693446088796,0.71335952830014,-0.32,4.56,0.7708465780131172,0.1764,0.46,0.62,0.94,1.36,1.84,2.38,2.82,3.52,0.0,228.0,0.0,0.2346723044397463,56.0,56.0,
group_reduced_formula,5,train,15139,0.7998203719357565,7716,6839,56,1613,12005,1521,15139,1.4674747341303915,0.74133809736139,-0.64,5.16,0.940275780620517,0.14,0.46,0.64,0.96,1.36,1.84,2.44,2.88,3.8,,,,,,,
group_reduced_formula,5,val,1891,0.09990490278951818,965,945,56,188,1487,216,1891,1.4884611316763618,0.7563196259935724,-0.36,4.62,0.9227804925026873,0.14,0.46,0.66,0.98,1.38,1.86,2.54,2.98,3.7239999999999966,,,,,,,
group_reduced_formula,5,test,1898,0.10027472527472528,965,954,56,193,1521,184,1898,1.4810432033719705,0.7379222331454984,-0.32,4.68,0.9510630692249724,0.13879999999999998,0.48,0.64,0.98,1.4,1.86,2.4,2.86,3.8605999999999994,0.0,228.0,0.0,0.23551106427818758,56.0,56.0,
group_reduced_formula,6,train,15135,0.7996090448013525,7716,6847,56,1593,12009,1533,15135,1.4709322761810373,0.7411447872832492,-0.64,5.16,0.9292838719996438,0.14,0.46,0.64,0.96,1.36,1.86,2.44,2.86,3.8,,,,,,,
group_reduced_formula,6,val,1902,0.10048605240912933,965,955,56,206,1515,181,1902,1.4558044164037856,0.7365817089876747,-0.32,4.96,0.9713520429568422,0.12020000000000003,0.44,0.64,0.96,1.38,1.8,2.38,2.8989999999999965,3.7198,,,,,,,
group_reduced_formula,6,test,1891,0.09990490278951818,965,949,56,195,1489,207,1891,1.4861448968799578,0.7591817498190641,-0.38,4.86,0.9847665107040451,0.08,0.46,0.64,0.98,1.36,1.84,2.48,2.9699999999999998,3.92,0.0,213.0,0.0,0.21946060285563193,56.0,56.0,
group_reduced_formula,7,train,15120,0.7988165680473372,7716,6863,56,1617,11962,1541,15120,1.4702910052910052,0.7469414460868501,-0.64,5.16,0.9583181817375719,0.14,0.46,0.64,0.96,1.36,1.84,2.44,2.9,3.8161999999999896,,,,,,,
