split_strategy,budget_label,requested_budget,actual_n_train,full_train_size,is_full_train,warning
random_iid,500,500,500,15142,False,
random_iid,1000,1000,1000,15142,False,
random_iid,2000,2000,2000,15142,False,
random_iid,4000,4000,4000,15142,False,
random_iid,8000,8000,8000,15142,False,
random_iid,full,15142,15142,15142,True,
group_element_set,500,500,500,15104,False,
group_element_set,1000,1000,1000,15104,False,
group_element_set,2000,2000,2000,15104,False,
group_element_set,4000,4000,4000,15104,False,
group_element_set,8000,8000,8000,15104,False,
group_element_set,full,15104,15104,15104,True,
group_reduced_formula,500,500,500,15136,False,
group_reduced_formula,1000,1000,1000,15136,False,
group_reduced_formula,2000,2000,2000,15136,False,
group_reduced_formula,4000,4000,4000,15136,False,
group_reduced_formula,8000,8000,8000,15136,False,
group_reduced_formula,full,15136,15136,15136,True,
