split_strategy,budget_label,n_train_mean,n_train_std,n_train_min,n_train_max,target_mean_mean,target_mean_std,target_mean_min,target_mean_max,target_std_mean,target_std_std,target_std_min,target_std_max,target_q10_mean,target_q10_std,target_q10_min,target_q10_max,target_q50_mean,target_q50_std,target_q50_min,target_q50_max,target_q90_mean,target_q90_std,target_q90_min,target_q90_max,n_elements_covered_mean,n_elements_covered_std,n_elements_covered_min,n_elements_covered_max,n_reduced_formula_groups_mean,n_reduced_formula_groups_std,n_reduced_formula_groups_min,n_reduced_formula_groups_max,n_element_set_groups_mean,n_element_set_groups_std,n_element_set_groups_min,n_element_set_groups_max,n_low_10_mean,n_low_10_std,n_low_10_min,n_low_10_max,n_high_10_mean,n_high_10_std,n_high_10_min,n_high_10_max,nearest_jaccard_mean_mean,nearest_jaccard_mean_std,nearest_jaccard_mean_min,nearest_jaccard_mean_max,nearest_jaccard_q10_mean,nearest_jaccard_q10_std,nearest_jaccard_q10_min,nearest_jaccard_q10_max,nearest_jaccard_q50_mean,nearest_jaccard_q50_std,nearest_jaccard_q50_min,nearest_jaccard_q50_max,nearest_jaccard_q90_mean,nearest_jaccard_q90_std,nearest_jaccard_q90_min,nearest_jaccard_q90_max
group_element_set,1000,1000.0,0.0,1000,1000,1.463018,0.020610979706080113,1.4297,1.5015,0.7358627479501333,0.012285784447838824,0.7161430438531532,0.7602905969376393,0.642,0.017511900715418287,0.62,0.66,1.357,0.026687491868330783,1.3,1.4,2.4408000000000003,0.055226402703376754,2.3420000000000005,2.56,56.0,0.0,56,56,969.5,4.813176359397881,962,978,951.6,5.337498373666178,945,960,103.2,5.846176338238333,96,116,102.3,8.35397443669113,88,120,0.6460728568944532,0.0051263621192236455,0.6390453834115806,0.6526951834463571,0.5,0.0,0.5,0.5,0.6,0.0,0.6,0.6,0.7740000000000009,0.02366431913239831,0.75,0.8
group_element_set,2000,2000.0,0.0,2000,2000,1.462334,0.012250206528871292,1.4409299999999998,1.48442,0.7405039042596109,0.01553422826092636,0.7040175741928508,0.7544632204259447,0.6374000000000001,0.01087504789261485,0.62,0.6580000000000001,1.354,0.012649110640673563,1.33,1.37,2.4324000000000003,0.04703473893481958,2.3620000000000028,2.52,56.0,0.0,56,56,1872.2,4.89444129146073,1864,1878,1805.5,8.95978670381041,1793,1824,209.7,6.360468186820492,200,220,201.5,13.293691068406181,182,227,0.6872700399930446,0.0031718689051522635,0.683715875499913,0.6926882281342375,0.6,0.0,0.6,0.6,0.75,0.0,0.75,0.75,0.8,0.0,0.8,0.8
group_element_set,4000,4000.0,0.0,4000,4000,1.4690284999999998,0.006791153579801051,1.460555,1.47989,0.7433943377120782,0.009305035780378196,0.733636490044546,0.7585571179550687,0.638,0.011352924243950936,0.62,0.66,1.362,0.014757295747452355,1.34,1.38,2.4403999999999995,0.024779920186402054,2.4,2.48,56.0,0.0,56,56,3481.9,12.31485101637674,3459,3498,3257.8,15.562062131278704,3224,3283,418.3,11.402241495035577,399,436,408.2,15.461780837493027,390,431,0.7296191966614501,0.0026650491809439816,0.7257259607024865,0.7333594157537819,0.6,0.0,0.6,0.6,0.75,0.0,0.75,0.75,0.8,0.0,0.8,0.8
group_element_set,500,500.0,0.0,500,500,1.456808,0.03973274183004909,1.40872,1.5291199999999998,0.7349052541103867,0.016746913891847705,0.7137689358521951,0.7705386981656025,0.6178,0.024119148685916223,0.5980000000000001,0.66,1.357,0.042439499421071246,1.3,1.44,2.4186,0.09081874500588773,2.32,2.62,56.0,0.0,56,56,492.2,1.3165611772087669,490,494,487.9,2.6853512081497186,483,492,55.0,4.69041575982343,48,64,49.7,7.616502551113017,42,67,0.6194835680751173,0.002524050622503765,0.615510346026778,0.6238741088506347,0.5,0.0,0.5,0.5,0.6,0.0,0.6,0.6,0.75,0.0,0.75,0.75
group_element_set,8000,8000.0,0.0,8000,8000,1.47377075,0.0043279391185516,1.4662350000000002,1.4788200000000002,0.7428826323338964,0.007052815943742604,0.7322497855879248,0.7543685711193412,0.64,0.009428090415820645,0.62,0.66,1.364,0.008432740427115615,1.36,1.38,2.448,0.01686548085423139,2.42,2.46,56.0,0.0,56,56,5923.8,34.55687743095108,5877,5988,5275.3,26.9033248668058,5241,5326,823.8,18.377522502593575,790,856,822.5,24.820466465309543,783,857,0.7607911667536081,0.000942652231027538,0.7594766127629978,0.7619805251260651,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.8,0.0,0.8,0.8
random_iid,1000,1000.0,0.0,1000,1000,1.459866,0.027617550056279624,1.431,1.50834,0.7411705130545483,0.022948351478703832,0.7127202608107687,0.7901052744696399,0.6336,0.02289687023736362,0.6,0.68,1.364,0.030983866769659255,1.32,1.42,2.4068,0.07586069103590129,2.32,2.5420000000000007,56.0,0.0,56,56,975.4,1.8973665961010266,973,979,961.7,4.056544780420354,956,967,107.7,8.525126261691248,94,120,97.5,13.066071415013091,82,121,0.6739020954393379,0.0032161854286392906,0.6695544990315195,0.679705934143335,0.5,0.0,0.5,0.5,0.6133333333333333,0.028109134757052266,0.6,0.6666666666666666,0.8,0.0,0.8,0.8
random_iid,2000,2000.0,0.0,2000,2000,1.463767,0.015079328050163435,1.43854,1.48277,0.7392474196956683,0.01664140279840906,0.7098973485813012,0.7699020341388153,0.636,0.020655911179772928,0.6,0.66,1.369,0.01523883926754986,1.34,1.39,2.4124000000000008,0.04925038070918859,2.32,2.48,56.0,0.0,56,56,1899.1,7.156193898373013,1883,1908,1844.0,7.4684521674693665,1833,1855,212.3,16.38461337827523,189,236,197.4,15.18917743365687,174,222,0.7328262017960908,0.004944237537204115,0.7230410283500617,0.7396988906497622,0.6,0.0,0.6,0.6,0.75,0.0,0.75,0.75,1.0,0.0,1.0,1.0
random_iid,4000,4000.0,0.0,4000,4000,1.4655985,0.006743276919355311,1.454215,1.4746299999999999,0.7443816244110562,0.007852763644755564,0.7337902213829571,0.7575083732269084,0.63,0.01414213562373097,0.62,0.66,1.364,0.012649110640673455,1.34,1.38,2.4261999999999997,0.028322743118874946,2.4,2.48,56.0,0.0,56,56,3591.4,12.001851708984073,3571,3611,3400.9,7.680422442085423,3386,3409,430.6,17.089307898345233,391,451,398.9,16.91449082887214,379,434,0.8077099841521396,0.0033870314403040966,0.8026941362916006,0.8152755766860362,0.6,0.0,0.6,0.6,0.755,0.015811388300841913,0.75,0.8,1.0,0.0,1.0,1.0
random_iid,500,500.0,0.0,500,500,1.468868,0.03801276534124943,1.4372800000000001,1.5608000000000002,0.741862353848114,0.034017244619072164,0.7115480721060493,0.8064525351084002,0.6296,0.031634018257425234,0.58,0.68,1.385,0.04403281604540968,1.3,1.47,2.4212000000000002,0.08754528986631911,2.34,2.5820000000000007,56.0,0.0,56,56,493.4,1.3498971154211175,491,495,490.2,1.813529401164723,486,492,53.5,5.562773089426211,44,62,50.0,8.31330927555995,45,66,0.6329943652051416,0.0041064321145852165,0.6254446205317836,0.6389945412924809,0.5,0.0,0.5,0.5,0.6,0.0,0.6,0.6,0.755,0.015811388300841913,0.75,0.8
random_iid,8000,8000.0,0.0,8000,8000,1.46718625,0.005057987666662576,1.4621624999999998,1.4762899999999999,0.7398617712189168,0.005046966094264081,0.7317658488595888,0.7481270316601905,0.63,0.010540925533894624,0.62,0.64,1.366,0.009660917830792889,1.36,1.38,2.424400000000001,0.0210142808585032,2.4,2.46,56.0,0.0,56,56,6338.3,24.60826419450726,6312,6385,5751.6,24.056415175813477,5718,5808,850.4,20.982532417862878,806,877,801.0,23.437861108329272,767,842,0.8852923049832718,0.0017273283938047666,0.8823736573340376,0.8873129072019722,0.75,0.0,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
