split_strategy,seed,budget_label,n_train,target_mean,target_std,target_q10,target_q50,target_q90,n_elements_covered,n_reduced_formula_groups,n_element_set_groups,n_low_10,n_high_10,nearest_jaccard_mean,nearest_jaccard_q10,nearest_jaccard_q50,nearest_jaccard_q90
random_iid,0,500,500,1.46292,0.7198598961883351,0.64,1.38,2.38,56,495,492,51,46,0.6330692023243528,0.5,0.6,0.75
random_iid,0,1000,1000,1.4534200000000002,0.714911604467435,0.6380000000000001,1.38,2.3620000000000005,56,979,967,108,88,0.6748019017432646,0.5,0.6,0.8
random_iid,0,2000,2000,1.4614099999999999,0.7312433044378203,0.64,1.38,2.38,56,1908,1855,211,181,0.7317837647473147,0.6,0.75,1.0
random_iid,0,4000,4000,1.471225,0.7425913814911712,0.64,1.38,2.4,56,3585,3404,425,383,0.8049128367670365,0.6,0.75,1.0
random_iid,0,8000,8000,1.4621624999999998,0.7371769816886182,0.64,1.36,2.4,56,6312,5736,849,767,0.8823736573340376,0.75,1.0,1.0
random_iid,1,500,500,1.47052,0.7667607016188911,0.5980000000000001,1.4,2.4,56,494,490,58,47,0.6389945412924809,0.5,0.6,0.75
random_iid,1,1000,1000,1.4440800000000003,0.7406585777054964,0.62,1.34,2.38,56,978,965,109,87,0.6764923402007396,0.5,0.6666666666666666,0.8
random_iid,1,2000,2000,1.4624899999999998,0.7453035211035063,0.62,1.38,2.4,56,1897,1838,216,192,0.7330251804895227,0.6,0.75,1.0
random_iid,1,4000,4000,1.4582800000000002,0.742962879328446,0.62,1.36,2.4,56,3601,3408,444,379,0.8051329459411868,0.6,0.75,1.0
random_iid,1,8000,8000,1.4630075000000002,0.736993622695432,0.62,1.36,2.4,56,6385,5808,860,778,0.8866789927804192,0.75,1.0,1.0
random_iid,2,500,500,1.4387600000000003,0.7170520131616384,0.62,1.36,2.3820000000000006,56,493,490,58,45,0.6336062687092797,0.5,0.6,0.75
random_iid,2,1000,1000,1.4386599999999998,0.7342512712480171,0.62,1.32,2.4,56,974,961,120,97,0.6709015671773199,0.5,0.6,0.8
random_iid,2,2000,2000,1.4388299999999998,0.7243250337225952,0.62,1.34,2.38,56,1895,1850,224,186,0.72905441098785,0.6,0.75,1.0
random_iid,2,4000,4000,1.454215,0.7401068661472677,0.62,1.36,2.42,56,3589,3393,434,395,0.8067441450959675,0.6,0.75,1.0
random_iid,2,8000,8000,1.4628125,0.7392248957689166,0.64,1.36,2.42,56,6313,5745,852,797,0.8825937665081881,0.75,1.0,1.0
random_iid,3,500,500,1.5044000000000002,0.7908443016288589,0.64,1.36,2.5820000000000007,56,492,491,53,66,0.627962669484064,0.5,0.6,0.75
random_iid,3,1000,1000,1.50834,0.7644166253929706,0.68,1.38,2.5420000000000007,56,973,956,94,117,0.6708399366085578,0.5,0.6,0.8
random_iid,3,2000,2000,1.48277,0.7452453437702282,0.66,1.36,2.48,56,1883,1833,189,216,0.7297411516111992,0.6,0.75,1.0
random_iid,3,4000,4000,1.4746299999999999,0.7479700715315932,0.64,1.36,2.46,56,3581,3400,417,414,0.8085226272231026,0.6,0.75,1.0
random_iid,3,8000,8000,1.4762899999999999,0.7455402837468518,0.64,1.38,2.4420000000000073,56,6363,5760,826,821,0.8853407290015849,0.75,1.0,1.0
random_iid,4,500,500,1.4372800000000001,0.7334300517989181,0.58,1.4,2.36,56,493,486,62,45,0.6365029054410987,0.5,0.6,0.75
random_iid,4,1000,1000,1.4415,0.7344347107431295,0.62,1.38,2.36,56,976,956,114,91,0.6763954921641133,0.5,0.6,0.8
random_iid,4,2000,2000,1.46858,0.7294836919550801,0.64,1.39,2.4,56,1902,1837,210,196,0.7371896460644479,0.6,0.75,1.0
random_iid,4,4000,4000,1.464645,0.7351533422246994,0.62,1.38,2.4,56,3611,3398,434,388,0.807545342489875,0.6,0.75,1.0
random_iid,4,8000,8000,1.4726525000000001,0.7399072219412952,0.62,1.38,2.44,56,6316,5718,848,811,0.8873129072019722,0.75,1.0,1.0
random_iid,5,500,500,1.46632,0.7115480721060493,0.68,1.38,2.38,56,495,492,44,45,0.6254446205317836,0.5,0.6,0.75
random_iid,5,1000,1000,1.48004,0.7515285713754293,0.64,1.36,2.46,56,975,964,101,106,0.6740359218172213,0.5,0.6,0.8
random_iid,5,2000,2000,1.4715700000000003,0.7446937756620199,0.64,1.36,2.442000000000003,56,1897,1847,213,209,0.7327962669484063,0.6,0.75,1.0
random_iid,5,4000,4000,1.4577200000000001,0.74393411071833,0.62,1.34,2.44,56,3571,3396,440,404,0.8096231730938546,0.6,0.8,1.0
random_iid,5,8000,8000,1.4639324999999999,0.7374108470102749,0.62,1.36,2.42,56,6317,5739,872,796,0.8868638844867055,0.75,1.0,1.0
random_iid,6,500,500,1.4384000000000001,0.7126988981602804,0.62,1.38,2.34,56,495,492,51,45,0.6318101778482126,0.5,0.6,0.75
