split_strategy,budget_label,n_train,n_val,n_test,is_full_train,n_reduced_formula_groups,n_element_set_groups,n_elements_covered,elements_absent_from_budget_but_present_in_full_train,fraction_of_full_train_reduced_formula_groups_covered,fraction_of_full_train_element_set_groups_covered,target_mean,target_std,target_min,target_max,target_q05,target_q10,target_q25,target_q50,target_q75,target_q90,target_q95,n_low_10,fraction_low_10,n_middle_80,fraction_middle_80,n_high_10,fraction_high_10,n_low_5,n_high_5,train_test_overlap_reduced_formula,train_test_overlap_element_set,test_objects_seen_in_train_fraction_reduced_formula,test_objects_seen_in_train_fraction_element_set,nearest_jaccard_mean,nearest_jaccard_q10,nearest_jaccard_q50,nearest_jaccard_q90,nearest_jaccard_fraction_eq_1_0,nearest_jaccard_fraction_ge_0_75,nearest_jaccard_fraction_lt_0_5
random_iid,500,500,1893,1893,False,495,493,56,,0.05393919581562602,0.06214546829698727,1.45008,0.7384048191567468,-0.3,4.02,0.4980000000000001,0.64,0.94,1.34,1.82,2.384000000000001,2.921999999999998,56,0.112,396,0.792,48,0.096,25,27,48,71,0.025356576862123614,0.03856312731114633,0.6314139813347419,0.5,0.6,0.75,0.03856312731114633,0.20443740095087162,0.005282620179609086
random_iid,1000,1000,1893,1893,False,978,963,56,,0.10657077476299444,0.1213916551115593,1.43198,0.7186635909498664,-0.3,4.66,0.46,0.64,0.94,1.35,1.78,2.32,2.820999999999999,109,0.109,804,0.804,87,0.087,51,47,98,133,0.051769677760169046,0.07448494453248812,0.6721341785525621,0.5,0.6,0.8,0.07448494453248812,0.36661384046487056,0.0
random_iid,2000,2000,1893,1893,False,1891,1836,56,,0.2060586248229269,0.2314382957267112,1.45985,0.7456845178760922,-0.58,4.66,0.48,0.64,0.96,1.36,1.84,2.4,2.861999999999998,217,0.1085,1589,0.7945,194,0.097,99,100,197,256,0.10406761753829899,0.14421553090332806,0.7315636555731643,0.6,0.75,1.0,0.14421553090332806,0.5990491283676703,0.0
random_iid,4000,4000,1893,1893,False,3559,3361,56,,0.38781736951073337,0.42367326358250346,1.46413,0.7395741244604173,-0.64,4.96,0.48,0.64,0.96,1.36,1.82,2.42,2.9009999999999945,426,0.1065,3183,0.79575,391,0.09775,198,208,377,487,0.19915478077126256,0.27469624933967246,0.8031255502729353,0.6,0.75,1.0,0.27469624933967246,0.8388800845219229,0.0
random_iid,8000,8000,1893,1893,False,6301,5730,56,,0.6866078239075951,0.7222992562712719,1.46575,0.7457888190502239,-0.64,5.16,0.46,0.62,0.96,1.36,1.84,2.44,2.9,876,0.1095,6308,0.7885,816,0.102,427,419,742,901,0.39197041732699417,0.508716323296355,0.8823824617010038,0.75,1.0,1.0,0.508716323296355,0.9725303750660328,0.0
random_iid,full,15142,1893,1893,True,9177,7933,56,,1.0,1.0,1.4670070003962488,0.7379409570129001,-0.64,5.16,0.46,0.64,0.96,1.36,1.84,2.42,2.86,1597,0.10546823405098402,12036,0.7948751816140536,1509,0.09965658433496236,777,756,1442,1486,0.7617538298996303,0.8288431061806656,0.9602658918823737,0.75,1.0,1.0,0.8288431061806656,0.9957739038563127,0.0
group_element_set,500,500,1907,1917,False,492,486,56,,0.0639459318949831,0.07348049591775023,1.5283600000000002,0.7227234386246754,0.0,4.06,0.54,0.7580000000000001,1.0550000000000002,1.42,1.8450000000000002,2.6,2.9029999999999974,37,0.074,402,0.804,61,0.122,16,30,0,0,0.0,0.0,0.6245696400625977,0.5,0.6,0.75,0.0,0.20865936358894105,0.0010432968179447052
group_element_set,1000,1000,1907,1917,False,970,956,56,,0.1260722641018976,0.1445418808587844,1.50694,0.7245254816592537,0.0,4.06,0.52,0.72,1.02,1.4,1.86,2.58,2.921999999999998,79,0.079,799,0.799,122,0.122,39,58,0,0,0.0,0.0,0.656451051990958,0.5,0.6,0.8,0.0,0.369848721961398,0.0
group_element_set,2000,2000,1907,1917,False,1878,1822,56,,0.24408630101377696,0.27547626247354096,1.49145,0.7380090962942846,-0.32,4.64,0.48,0.68,0.98,1.38,1.88,2.5,2.9,187,0.0935,1586,0.793,227,0.1135,94,105,0,0,0.0,0.0,0.6927403929751347,0.6,0.75,0.8,0.0,0.5513823682837767,0.0
group_element_set,4000,4000,1907,1917,False,3508,3288,56,,0.4559396932674811,0.4971273057151497,1.467165,0.7375090119182715,-0.32,4.64,0.48,0.64,0.96,1.36,1.84,2.46,2.92,407,0.10175,3174,0.7935,419,0.10475,194,217,0,0,0.0,0.0,0.7332029212310903,0.6,0.75,0.8,0.0,0.7746478873239436,0.0
