split_strategy,budget_label,file,n_rows,n_unique_sample_id,warning
random_iid,500,candidate_splits/random_iid/train_budget_500.csv,500,500,
random_iid,1000,candidate_splits/random_iid/train_budget_1000.csv,1000,1000,
random_iid,2000,candidate_splits/random_iid/train_budget_2000.csv,2000,2000,
random_iid,4000,candidate_splits/random_iid/train_budget_4000.csv,4000,4000,
random_iid,8000,candidate_splits/random_iid/train_budget_8000.csv,8000,8000,
random_iid,full,candidate_splits/random_iid/train_full.csv,15142,15142,
group_element_set,500,candidate_splits/group_element_set/train_budget_500.csv,500,500,
group_element_set,1000,candidate_splits/group_element_set/train_budget_1000.csv,1000,1000,
group_element_set,2000,candidate_splits/group_element_set/train_budget_2000.csv,2000,2000,
group_element_set,4000,candidate_splits/group_element_set/train_budget_4000.csv,4000,4000,
group_element_set,8000,candidate_splits/group_element_set/train_budget_8000.csv,8000,8000,
group_element_set,full,candidate_splits/group_element_set/train_full.csv,15104,15104,
group_reduced_formula,500,candidate_splits/group_reduced_formula/train_budget_500.csv,500,500,
group_reduced_formula,1000,candidate_splits/group_reduced_formula/train_budget_1000.csv,1000,1000,
group_reduced_formula,2000,candidate_splits/group_reduced_formula/train_budget_2000.csv,2000,2000,
group_reduced_formula,4000,candidate_splits/group_reduced_formula/train_budget_4000.csv,4000,4000,
group_reduced_formula,8000,candidate_splits/group_reduced_formula/train_budget_8000.csv,8000,8000,
group_reduced_formula,full,candidate_splits/group_reduced_formula/train_full.csv,15136,15136,
