split_strategy,budget_label,n_train,n_val,n_test,budget_type,model_family_placeholder,metric_placeholder,notes
random_iid,500,500,1893,1893,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
random_iid,500,500,1893,1893,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
random_iid,500,500,1893,1893,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
random_iid,1000,1000,1893,1893,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
random_iid,1000,1000,1893,1893,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
random_iid,1000,1000,1893,1893,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
random_iid,2000,2000,1893,1893,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
random_iid,2000,2000,1893,1893,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
random_iid,2000,2000,1893,1893,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
random_iid,4000,4000,1893,1893,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
random_iid,4000,4000,1893,1893,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
random_iid,4000,4000,1893,1893,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
random_iid,8000,8000,1893,1893,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
random_iid,8000,8000,1893,1893,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
random_iid,8000,8000,1893,1893,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
random_iid,full,15142,1893,1893,full_train,descriptor,,nested fixed annotation budget; target not used for sampling
random_iid,full,15142,1893,1893,full_train,cgcnn,,nested fixed annotation budget; target not used for sampling
random_iid,full,15142,1893,1893,full_train,matgl,,nested fixed annotation budget; target not used for sampling
group_element_set,500,500,1907,1917,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_element_set,500,500,1907,1917,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_element_set,500,500,1907,1917,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_element_set,1000,1000,1907,1917,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_element_set,1000,1000,1907,1917,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_element_set,1000,1000,1907,1917,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_element_set,2000,2000,1907,1917,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_element_set,2000,2000,1907,1917,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_element_set,2000,2000,1907,1917,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_element_set,4000,4000,1907,1917,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_element_set,4000,4000,1907,1917,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_element_set,4000,4000,1907,1917,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_element_set,8000,8000,1907,1917,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_element_set,8000,8000,1907,1917,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_element_set,8000,8000,1907,1917,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_element_set,full,15104,1907,1917,full_train,descriptor,,nested fixed annotation budget; target not used for sampling
group_element_set,full,15104,1907,1917,full_train,cgcnn,,nested fixed annotation budget; target not used for sampling
group_element_set,full,15104,1907,1917,full_train,matgl,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,500,500,1900,1892,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,500,500,1900,1892,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,500,500,1900,1892,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,1000,1000,1900,1892,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,1000,1000,1900,1892,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,1000,1000,1900,1892,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,2000,2000,1900,1892,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,2000,2000,1900,1892,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,2000,2000,1900,1892,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,4000,4000,1900,1892,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,4000,4000,1900,1892,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,4000,4000,1900,1892,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,8000,8000,1900,1892,fixed_budget,descriptor,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,8000,8000,1900,1892,fixed_budget,cgcnn,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,8000,8000,1900,1892,fixed_budget,matgl,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,full,15136,1900,1892,full_train,descriptor,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,full,15136,1900,1892,full_train,cgcnn,,nested fixed annotation budget; target not used for sampling
group_reduced_formula,full,15136,1900,1892,full_train,matgl,,nested fixed annotation budget; target not used for sampling
