element_set,group_size,target_mean,target_std,target_min,target_max,n_unique_elements_mean
Ag-Al-N-O,4,1.8,0.32290349435499566,1.4,2.1,4.0
Ag-As-N-O,4,1.8399999999999999,0.4029888335921977,1.38,2.32,4.0
Ag-Au-N-O,4,2.1500000000000004,0.0930949336251263,2.06,2.24,4.0
Ag-B-N-O,4,2.62,0.7235099630735341,1.96,3.5,4.0
Ag-Ba-N-O,4,2.05,0.589349924351682,1.34,2.72,4.0
Ag-Be-N-O,4,2.635,0.6182502190321757,2.0,3.26,4.0
Ag-Bi-N-O,4,1.745,0.2537058664411737,1.48,2.0,4.0
Ag-Ca-N-O,4,1.8900000000000001,0.24358434541926824,1.66,2.12,4.0
Ag-Cd-N-O,4,2.085,0.22293496809607952,1.82,2.36,4.0
Ag-Co-N-O,4,1.765,0.2390955178723907,1.48,2.0,4.0
Ag-Cr-N-O,4,1.38,0.40693979898751603,0.9,1.8,4.0
Ag-Cs-N-O,4,2.445,0.4416257842714048,1.94,2.96,4.0
Ag-Cu-N-O,4,2.025,0.1279322737493034,1.88,2.16,4.0
Ag-Fe-N-O,4,1.65,0.31176914536239797,1.28,1.98,4.0
Ag-Ga-N-O,4,1.795,0.29137604568666936,1.42,2.12,4.0
Ag-Ge-N-O,4,1.5699999999999998,0.31853832841067437,1.16,1.9,4.0
Ag-Hf-N-O,4,1.63,0.5756156124822652,1.14,2.36,4.0
Ag-Hg-N-O,4,2.2750000000000004,0.1560982596529078,2.14,2.5,4.0
Ag-In-N-O,4,1.665,0.18999999999999997,1.46,1.88,4.0
Ag-Ir-N-O,4,2.085,0.7327346040688948,1.5,3.1,4.0
