reduced_formula,group_size,target_mean,target_std,target_min,target_max,n_unique_elements_mean
AgAsN2O,2,1.83,0.2121320343559642,1.68,1.98,4.0
AgAsN3,2,2.3,0.5656854249492383,1.9,2.7,3.0
AgAsNO2,2,1.8499999999999999,0.6646803743153546,1.38,2.32,4.0
AgAsNOF,2,1.48,0.5939696961966998,1.06,1.9,5.0
AgAsO2F,2,1.22,0.6788225099390857,0.74,1.7,4.0
AgAsO3,2,1.4,0.3959797974644666,1.12,1.68,3.0
AgAsSO2,2,1.42,0.7071067811865475,0.92,1.92,4.0
AgAuN2O,2,2.2300000000000004,0.01414213562373112,2.22,2.24,4.0
AgAuN3,2,2.5599999999999996,0.33941125496954294,2.32,2.8,3.0
AgAuNO2,2,2.0700000000000003,0.014142135623730807,2.06,2.08,4.0
AgAuNOF,2,1.6800000000000002,0.16970562748477133,1.56,1.8,5.0
AgAuO2F,2,1.52,0.16970562748477133,1.4,1.64,4.0
AgAuO3,2,2.02,0.05656854249492385,1.98,2.06,3.0
AgAuSO2,2,1.44,0.11313708498984747,1.36,1.52,4.0
AgBN2O,2,2.51,0.5798275605729687,2.1,2.92,4.0
AgBN3,2,2.45,0.24041630560342622,2.28,2.62,3.0
AgBNO2,2,2.73,1.0889444430272832,1.96,3.5,4.0
AgBNOF,2,2.38,1.0182337649086286,1.66,3.1,5.0
AgBO2F,2,2.1799999999999997,1.0748023074035522,1.42,2.94,4.0
AgBO3,2,2.3,0.7636753236814713,1.76,2.84,3.0
