model_kind,feature_variant,train_fraction,n_features,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2
xgb,expanded,0.025,51,0.01042981977533179,0.3938364971911646,0.3984031530410225,0.99967778433221,0.5349855945381188,0.5183452459103088
xgb,expanded_corr095,0.025,27,0.01210012837771886,0.39329005964047226,0.40389802160429317,0.9995601362887817,0.5308289353800716,0.5069256111353745
rf,expanded_corr095,0.025,27,0.16178463706835808,0.4067254798379997,0.41847585842577933,0.9287121494660378,0.5102773982015459,0.4864552636856473
rf,expanded,0.025,51,0.16196927413671586,0.41185810882197565,0.42015460468392335,0.9283933761571216,0.4992383557197845,0.48293131430926683
xgb,expanded,0.25,51,0.13826321032907127,0.28972610090244744,0.29440036265777275,0.9400468949855874,0.7336934287228147,0.7158397743768734
xgb,expanded_corr095,0.25,27,0.1472241150052503,0.29345787344589963,0.29782927884541677,0.9321026213844408,0.7263955548902044,0.7147735881565357
rf,expanded_corr095,0.25,27,0.11866973795435332,0.3123911604155662,0.3209044550096848,0.9546468299039865,0.6930837988204391,0.6753050880216371
rf,expanded,0.25,51,0.12006153846153844,0.3156268357105125,0.3236344426835711,0.9538305456502619,0.6842769606390117,0.6700729585467089
xgb,expanded,1.0,51,0.1935067411685525,0.2632809847287885,0.26331589586700216,0.8778357719881591,0.7760023499505517,0.7676248897865678
xgb,expanded_corr095,1.0,27,0.19813306864606317,0.26508655526796804,0.2671340842475761,0.8710680366082941,0.7762793718594464,0.7676625328664698
rf,expanded_corr095,1.0,27,0.10139053845815167,0.27242553266420144,0.27554256030991375,0.9617896395079388,0.7529600745673313,0.7390539677648046
rf,expanded,1.0,51,0.10213040989741554,0.2748668075365381,0.27595471033632685,0.9614495420777374,0.7494417158486157,0.7388959972690746
