feature_1,feature_2,abs_corr
periodic_row_max,periodic_row_range,1.0000000000000004
lattice_a,lattice_b,1.0
lattice_b,lattice_c,1.0
lattice_a,lattice_c,1.0
volume,volume_per_site,0.9999999999999981
mendeleev_no_min,mendeleev_no_range,0.9996670484820415
atomic_number_max,atomic_mass_max,0.9994569723221998
atomic_number_range,atomic_mass_range,0.9993507643604217
atomic_number_std,atomic_mass_std,0.9993309182635374
atomic_mass_max,atomic_mass_range,0.9992242376564267
atomic_number_max,atomic_mass_range,0.9984871033269118
atomic_number_mean,atomic_mass_mean,0.9984649300295336
atomic_number_min,atomic_mass_min,0.9984380036451201
atomic_number_max,atomic_number_range,0.9982423977287763
atomic_number_range,atomic_mass_max,0.9979890262536443
electronegativity_max,mendeleev_no_max,0.994207553531431
std_atomic_number,atomic_mass_std,0.9933861551816902
mendeleev_no_max,periodic_group_max,0.9932902636978398
volume,lattice_b,0.9932725144411142
volume,lattice_c,0.9932725144411142
volume,lattice_a,0.9932725144411142
volume_per_site,lattice_c,0.9932725144411089
volume_per_site,lattice_a,0.9932725144411089
volume_per_site,lattice_b,0.9932725144411089
std_atomic_number,atomic_number_std,0.9930652395486079
num_unique_elements,composition_entropy,0.9929403235032527
electronegativity_max,atomic_radius_min,0.992612685987499
electronegativity_max,periodic_group_max,0.9891070906641802
atomic_radius_max,atomic_radius_range,0.9880223528004108
periodic_group_min,periodic_group_range,0.9869040508476291
std_atomic_number,atomic_number_range,0.9866237960534401
std_atomic_number,atomic_mass_range,0.9860702459071994
std_atomic_number,atomic_number_max,0.9850480448141634
atomic_mass_std,atomic_mass_max,0.9848334324086345
std_atomic_number,atomic_mass_max,0.984818402429142
atomic_mass_std,atomic_mass_range,0.9844049711863649
atomic_number_max,atomic_mass_std,0.9842182482042248
mendeleev_no_std,mendeleev_no_range,0.9840517285783867
mendeleev_no_std,mendeleev_no_min,0.9838766683437365
atomic_number_range,atomic_mass_std,0.9832029742738169
atomic_number_std,atomic_number_max,0.982097117038941
atomic_number_std,atomic_mass_max,0.9817526255433345
composition_entropy,max_element_fraction,0.9816686688352333
atomic_number_std,atomic_mass_range,0.9813836171226027
num_unique_elements,max_element_fraction,0.9811625555647076
atomic_number_std,atomic_number_range,0.9811567530593203
atomic_radius_std,atomic_radius_range,0.9746813427706473
atomic_radius_min,mendeleev_no_max,0.9738232305009824
periodic_group_std,periodic_group_range,0.9730859019828605
atomic_radius_min,periodic_group_max,0.9706104353714892
periodic_group_std,periodic_group_min,0.9699578000234319
atomic_radius_std,atomic_radius_max,0.9688606758641397
mendeleev_no_mean,mendeleev_no_std,0.9620577424368617
