model,model_kind,feature_set,train_fraction,seed,n_features,n_train,n_val,n_test,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,predictions_path
descriptor_rf_starter,rf,starter,0.25,42,6,4732,1893,1893,0.1655072978303747,0.2241707263797067,0.9112407071771248,0.4567197393907379,0.6165569280121975,0.3461043160273509,0.4586165169924283,0.6079469060978223,0.3567966540824387,results/predictions/descriptor_rf_starter_0_25_seed42.csv
descriptor_rf_starter,rf,starter,1.0,42,6,15142,1893,1893,0.1512564302381895,0.2074324093870341,0.9209796996938286,0.4234967423842226,0.5901419200311164,0.4009334960456902,0.4207384046487057,0.5732522642246537,0.4281152085227508,results/predictions/descriptor_rf_starter_1_0_seed42.csv
descriptor_rf_expanded,rf,expanded,0.025,42,51,473,1893,1893,0.1619692741367158,0.2139082758603785,0.9283933761571216,0.4118581088219757,0.5395534515710091,0.4992383557197845,0.4201546046839233,0.5450867480584746,0.4829313143092668,results/predictions/descriptor_rf_expanded_0_025_seed42.csv
descriptor_rf_expanded,rf,expanded,0.25,42,51,4732,1893,1893,0.1200615384615384,0.1616774137074429,0.953830545650262,0.3156268357105125,0.4284223155706966,0.6842769606390118,0.3236344426835711,0.4354120675799375,0.6700729585467089,results/predictions/descriptor_rf_expanded_0_25_seed42.csv
descriptor_rf_expanded,rf,expanded,1.0,42,51,15142,1893,1893,0.1021304098974155,0.1448845394160826,0.9614495420777374,0.274866807536538,0.3816570858019104,0.7494417158486157,0.2759547103363268,0.3873452815569724,0.7388959972690747,results/predictions/descriptor_rf_expanded_1_0_seed42.csv
descriptor_xgb_starter,xgb,starter,0.025,42,6,473,1893,1893,0.067064317362127,0.087440171513541,0.9880347982743446,0.5318242713407556,0.6990236520077092,0.1594842653274885,0.5474107660351609,0.7087755437936036,0.1257524228767645,results/predictions/descriptor_xgb_starter_0_025_seed42.csv
descriptor_xgb_starter,xgb,starter,0.25,42,6,4732,1893,1893,0.2849502060550248,0.3725037094370857,0.7549147137916694,0.4622450949272905,0.6224212186249874,0.3336062954014381,0.4755948610124421,0.6204462683368821,0.3300762981677564,results/predictions/descriptor_xgb_starter_0_25_seed42.csv
descriptor_xgb_starter,xgb,starter,1.0,42,6,15142,1893,1893,0.3581638071082434,0.472548591186568,0.5899107379970004,0.4437599094406487,0.5991974311381547,0.3824075300479308,0.4484844827198567,0.5892235337207514,0.39580495635565,results/predictions/descriptor_xgb_starter_1_0_seed42.csv
descriptor_xgb_expanded,xgb,expanded,0.025,42,51,473,1893,1893,0.0104298197753317,0.014349088542531,0.99967778433221,0.3938364971911646,0.5199387073972757,0.5349855945381188,0.3984031530410225,0.5260892538806695,0.5183452459103088,results/predictions/descriptor_xgb_expanded_0_025_seed42.csv
descriptor_xgb_expanded,xgb,expanded,0.25,42,51,4732,1893,1893,0.1382632103290712,0.1842374112202426,0.9400468949855874,0.2897261009024474,0.3934684262170655,0.7336934287228147,0.2944003626577727,0.4040853910609699,0.7158397743768734,results/predictions/descriptor_xgb_expanded_0_25_seed42.csv
descriptor_xgb_expanded,xgb,expanded,1.0,42,51,15142,1893,1893,0.1935067411685525,0.2579166037558847,0.8778357719881591,0.2632809847287885,0.3608616061680375,0.7760023499505517,0.2633158958670021,0.3654149484396719,0.7676248897865678,results/predictions/descriptor_xgb_expanded_1_0_seed42.csv
descriptor_rf_starter,rf,starter,0.025,42,6,473,1893,1893,0.20248301620859754,0.2667187860800492,0.8886717877455308,0.5109783412572636,0.6735079507356787,0.21972523702210456,0.5168866349709456,0.6684549307718549,0.22239104741271964,results/predictions/descriptor_rf_starter_0_025_seed42.csv
