model,model_family,train_fraction,seed,split_id,mae,rmse,r2,n_train,n_val,n_test,target_unit,predictions_path,notes
cgcnn_optimized,cgcnn,0.025,42,seed_42_80_10_10,0.3423144666706514,0.4503539767280444,0.6470404039792305,473,1893,1893,eV/unit cell,results/predictions/cgcnn_optimized_0_025_seed42.csv,"CGCNN with RBF, BatchNorm and Residual connections."
cgcnn_optimized,cgcnn,0.25,42,seed_42_80_10_10,0.2009974899571595,0.2781225828298223,0.8653862268642347,4732,1893,1893,eV/unit cell,results/predictions/cgcnn_optimized_0_25_seed42.csv,"CGCNN with RBF, BatchNorm and Residual connections."
cgcnn_optimized,cgcnn,1.0,42,seed_42_80_10_10,0.2027740995089213,0.2780056763416133,0.8654993706141383,15142,1893,1893,eV/unit cell,results/predictions/cgcnn_optimized_1_0_seed42.csv,"CGCNN with RBF, BatchNorm and Residual connections."
cgcnn_scaffold,cgcnn,0.025,42,seed_42_80_10_10,0.5701117620885896,0.7273393882711261,0.0793571098909586,473,1893,1893,eV/unit cell,results/predictions/cgcnn_scaffold_0_025_seed42.csv,Scaffold split test
cgcnn_scaffold,cgcnn,0.25,42,seed_42_80_10_10,0.4872486017749604,0.6133438491356437,0.3453261132926074,4732,1893,1893,eV/unit cell,results/predictions/cgcnn_scaffold_0_25_seed42.csv,Scaffold split test
cgcnn_scaffold,cgcnn,1.0,42,seed_42_80_10_10,50.562946101796086,63.48881029401768,-7013.736591892326,15142,1893,1893,eV/unit cell,results/predictions/cgcnn_scaffold_1_0_seed42.csv,Scaffold split test
descriptor_rf_expanded,descriptor_baseline,0.025,42,seed_42_80_10_10,0.4201546046839233,0.5450867480584746,0.4829313143092668,473,1893,1893,eV/unit cell,,RF descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_rf_expanded,descriptor_baseline,0.25,42,seed_42_80_10_10,0.3236344426835711,0.4354120675799375,0.6700729585467089,4732,1893,1893,eV/unit cell,,RF descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_rf_expanded,descriptor_baseline,1.0,42,seed_42_80_10_10,0.2759547103363268,0.3873452815569724,0.7388959972690747,15142,1893,1893,eV/unit cell,,RF descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_rf_starter,descriptor_baseline,0.025,42,seed_42_80_10_10,0.5168866349709456,0.6684549307718549,0.2223910474127196,473,1893,1893,eV/unit cell,results/predictions/descriptor_rf_starter_0_025_seed42.csv,RF descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_rf_starter,descriptor_baseline,0.25,42,seed_42_80_10_10,0.4586165169924283,0.6079469060978223,0.3567966540824387,4732,1893,1893,eV/unit cell,,RF descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_rf_starter,descriptor_baseline,1.0,42,seed_42_80_10_10,0.4207384046487057,0.5732522642246537,0.4281152085227508,15142,1893,1893,eV/unit cell,,RF descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_xgb_expanded,descriptor_baseline,0.025,42,seed_42_80_10_10,0.3984031530410225,0.5260892538806695,0.5183452459103088,473,1893,1893,eV/unit cell,,XGB descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_xgb_expanded,descriptor_baseline,0.25,42,seed_42_80_10_10,0.2944003626577727,0.4040853910609699,0.7158397743768734,4732,1893,1893,eV/unit cell,,XGB descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_xgb_expanded,descriptor_baseline,1.0,42,seed_42_80_10_10,0.2633158958670021,0.3654149484396719,0.7676248897865678,15142,1893,1893,eV/unit cell,,XGB descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_xgb_starter,descriptor_baseline,0.025,42,seed_42_80_10_10,0.5474107660351609,0.7087755437936036,0.1257524228767645,473,1893,1893,eV/unit cell,,XGB descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_xgb_starter,descriptor_baseline,0.25,42,seed_42_80_10_10,0.4755948610124421,0.6204462683368821,0.3300762981677564,4732,1893,1893,eV/unit cell,,XGB descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_xgb_starter,descriptor_baseline,1.0,42,seed_42_80_10_10,0.4484844827198567,0.5892235337207514,0.39580495635565,15142,1893,1893,eV/unit cell,,XGB descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
matgl_megnet,matgl,0.025,42,seed_42_80_10_10,0.3289198283020681,0.4233633743338749,0.6880797590818332,473,1893,1893,eV/unit cell,,Fine-tuning of pre-trained MEGNet (2 phases: frozen backbone -> full unfreeze).
matgl_megnet,matgl,0.25,42,seed_42_80_10_10,0.3293515048817989,0.4234047579991272,0.6880187758484466,4732,1893,1893,eV/unit cell,,Fine-tuning of pre-trained MEGNet (2 phases: frozen backbone -> full unfreeze).
matgl_megnet,matgl,1.0,42,seed_42_80_10_10,0.3292633165786711,0.4233558192592486,0.6880908916446076,15142,1893,1893,eV/unit cell,,Fine-tuning of pre-trained MEGNet (2 phases: frozen backbone -> full unfreeze).
